palavra,qt
de,46036
em,27802
do,15991
da,14381
e,12121
no,11814
diz,10759
para,10532
a,8828
na,7032
com,6811
alta,4692
r$,4232
que,4154
dos,3967
eua,3952
por,3938
mais,3345
o,3307
queda,3154
,3120
dólar,3108
é,3048
brasil,3032
tem,2904
nesta,2833
fecha,2813
bovespa,2715
após,2629
sobre,2559
governo,2457
milhões,2255
sobe,2211
bolsas,2087
opera,2027
nos,1987
trimestre,1926
sp,1890
produção,1889
cai,1882
ao,1817
não,1744
inflação,1683
us$,1628
ações,1615
à,1574
das,1537
preço,1535
lucro,1524
ano,1467
bilhões,1462
maior,1439
deve,1410
até,1379
bc,1376
petrobras,1351
mercado,1313
fecham,1301
dia,1287
soja,1285
vai,1269
se,1235
cresce,1228
petróleo,1213
pelo,1209
mt,1208
semana,1194
mil,1173
são,1169
safra,1128
anos,1115
país,1113
baixa,1090
vendas,1078
produtores,1074
china,1073
milho,1055
anuncia,1038
dilma,1027
pode,1025
agricultores,1010
contra,1005
fgv,1003
nova,985
novo,963
sobem,951
aprova,950
mas,944
empresas,931
recorde,921
pib,919
pela,915
economia,904
compra,902
ibge,892
acordo,881
preços,861
menor,855
bi,849
receita,847
mostra,824
europa,824
crédito,822
setor,822
têm,796
aponta,794
crise,792
venda,786
indústria,784
crescimento,780
1º,771
banco,759
janeiro,751
asiáticas,736
energia,733
leilão,731
prevê,726
abril,724
desde,723
recua,722
rio,719
caem,718
juros,710
grécia,701
maio,700
quase,694
entre,693
europeias,691
as,690
mantega,685
faz,675
confiança,672
ir,672
ministro,664
presidente,657
julho,652
os,651
meses,641
euro,638
ser,631
está,624
veja,623
zona,620
volta,617
greve,615
mato,613
reduz,611
dados,611
dívida,610
quer,609
bancos,609
agosto,608
aumento,606
grosso,602
como,598
empresa,596
outubro,584
março,584
chuva,581
sem,578
setembro,574
serasa,571
novembro,571
fevereiro,569
nas,566
rs,564
consumidor,559
2º,554
junho,542
café,539
mg,537
um,536
comércio,529
mês,527
construção,526
argentina,520
leve,518
fim,518
paulo,516
sul,515
fica,514
fmi,494
prejuízo,490
plano,490
passa,483
renda,482
colheita,481
vale,480
menos,478
japão,474
pede,471
ms,468
mantém,467
terça-feira,467
justiça,464
pesquisa,461
índice,458
fed,449
nível,448
3º,448
desemprego,447
atinge,444
já,444
quarta-feira,442
trabalho,440
primeiro,437
carne,431
registra,431
falta,430
vê,427
comercial,426
será,425
semestre,422
quinta-feira,419
industrial,419
segundo,416
eike,415
ter,414
algodão,406
risco,401
ainda,401
estável,400
desacelera,399
vira,399
espanha,397
área,394
ajuda,390
chega,388
projeto,388
começa,386
aumenta,382
bndes,380
nota,378
estão,378
emprego,378
brasileiros,377
previsão,377
fiscal,376
taxa,376
segunda-feira,376
forte,375
investimento,374
subir,374
(mt),374
copa,373
espera,372
seguido,371
bolsa,370
mundo,370
inadimplência,369
pr,369
etanol,367
consumo,366
bilhão,366
lavouras,366
segue,365
brasileira,362
exportação,362
plantio,361
terá,361
mi,361
estados,359
ipc-s,358
segunda,356
pregão,356
prévia,355
exterior,355
novas,354
perto,352
ministério,351
sexta-feira,350
medidas,350
real,350
dezembro,349
grupo,347
seca,347
causa,347
avança,346
oferta,345
ogx,345
valor,344
três,343
novos,343
exportações,340
dias,338
brasileiro,337
aneel,336
recuperação,333
ação,333
mundial,331
estudo,329
déficit,329
alimentos,328
caixa,327
prazo,327
criadores,327
anatel,325
crescem,325
vez,324
redução,323
agência,323
abre,322
ante,321
demanda,319
custo,319
atividade,316
rural,315
acima,314
código,313
4º,311
devem,311
dúvidas,311
varejo,309
operar,309
estabilidade,308
negócios,307
câmara,306
muda,306
valorização,302
lança,301
cni,297
federal,296
uma,296
decisão,295
central,295
confirma,293
senado,293
superávit,292
mp,292
imposto,291
obama,291
líquido,290
pedidos,290
bate,289
fábrica,289
programa,288
prejudica,287
início,287
perdas,287
leite,285
1ª,284
famílias,282
lei,282
york,281
florestal,281
rj,281
foi,278
funcionários,277
cria,277
recuam,276
paraná,275
aeroportos,275
boa,274
eleva,274
investimentos,274
produtos,272
apple,272
grãos,271
carros,271
crescer,270
abaixo,270
acelera,269
quarta,269
anp,267
fazenda,267
corte,265
juro,264
capital,263
empregos,263
véspera,263
indica,261
fazem,261
serviços,260
número,260
terça,260
açúcar,259
sexta,259
agricultura,258
meio,258
terceiro,258
criação,255
londres,254
reunião,254
força,252
aos,252
américa,252
balança,252
tri,252
reduzir,251
reajuste,251
capitais,249
libera,249
dizem,249
importação,249
antes,249
campo,247
veículos,247
porto,247
empresários,246
dois,246
marca,246
1,00%,246
alemanha,245
ásia,244
conta,243
pior,243
inicia,243
produtor,243
econômica,242
gol,242
neste,241
gasolina,241
consultor,241
perde,238
pagar,238
grande,237
primeira,237
global,237
contas,236
europeu,235
trigo,235
diretor,234
imóveis,233
itália,232
frança,231
obras,231
suspende,231
meta,231
cade,230
cana,230
embraer,229
mercados,229
cair,229
países,229
orçamento,228
casa,227
pegn,226
podem,226
política,225
gastos,225
provoca,223
região,223
gm,222
cinco,221
rede,221
arroba,220
boi,219
deixa,218
pagamento,218
uso,216
gado,216
2,00%,215
ue,215
saúde,215
pedido,214
ranking,214
quinta,214
cultivo,212
busca,212
fazer,211
estiagem,211
supera,210
alto,210
nacional,210
defende,210
tesouro,209
aluguel,208
voos,208
vão,208
produtividade,208
união,207
autoriza,207
gás,207
vende,207
preocupa,207
lote,206
go,205
expectativa,205
tim,205
ganha,205
internet,205
fundo,205
há,204
ny,204
rússia,204
batista,203
facebook,203
estima,202
latina,202
termina,202
vida,202
europeia,202
média,201
nega,201
belo,201
comissão,201
baixo,200
luz,200
quatro,200
clima,200
afirma,199
trabalhadores,199
vista,199
recebe,197
2ª,196
qualidade,196
básica,195
feira,195
monte,195
ipi,195
melhor,194
norte,194
informa,194
dívidas,193
operação,193
dá,193
apesar,192
bce,192
partir,191
aumentar,190
regras,190
jbs,189
lojas,189
portugal,189
público,188
3,00%,188
resultado,187
encerra,187
faturamento,187
usina,187
conab,186
multa,185
sistema,185
anac,185
milhão,185
pe,185
reúne,184
impostos,184
proposta,184
investir,184
participação,184
cesta,183
globo,183
saca,183
saída,182
10,00%,182
fipe,182
conselho,181
natal,181
copom,181
lista,180
mínimo,180
oi,178
fusão,178
toneladas,177
financiamento,177
evitar,176
problemas,175
tecnologia,175
entrada,175
tv,174
bahia,174
manter,174
seguida,173
15,00%,173
mesmo,173
declaração,173
brasília,172
alerta,172
