palavras,qt
de,30054
em,16076
do,10471
da,9445
e,8494
no,7468
para,7285
diz,6526
a,6134
com,4378
na,4253
o,3299
r$,2952
que,2923
por,2522
alta,2513
mais,2509
brasil,2475
dos,2253
é,2236
dólar,1860
eua,1827
governo,1824
tem,1805
queda,1668
sobre,1549
após,1483
,1458
nesta,1446
bovespa,1397
estado,1395
fecha,1379
sobe,1286
milhões,1267
não,1251
ao,1235
us$,1176
inflação,1163
sp,1109
trimestre,1090
economia,1086
cai,1070
maior,1047
ano,1046
opera,1046
bolsas,1042
mercado,1032
bilhões,1031
nos,1021
agência,1005
das,992
produção,980
vai,965
deve,958
lucro,937
petrobras,928
ações,913
à,910
até,907
empresas,901
preço,896
país,896
se,891
anos,825
pode,810
bc,792
são,789
cresce,757
dilma,737
paulo,731
mil,730
pelo,717
dia,713
bi,691
mt,676
compra,675
pib,666
anuncia,661
negócios,659
soja,638
vendas,623
produtores,621
aprova,613
petróleo,607
semana,605
nova,605
novo,604
pela,602
mas,592
crédito,586
recorde,586
receita,585
contra,575
baixa,572
agricultores,571
china,570
os,569
acordo,566
fgv,562
indústria,558
banco,556
ibge,549
safra,548
crise,546
1º,545
leilão,544
venda,538
menor,534
setor,533
veja,529
mostra,528
fecham,525
como,525
empresa,524
energia,523
crescimento,516
ir,514
as,514
ser,497
juros,496
têm,495
milho,494
entre,488
desde,485
quer,481
faz,481
um,468
aponta,468
mantega,464
bancos,462
sobem,461
rio,456
prevê,445
presidente,442
&,439
abril,438
maio,437
preços,429
está,427
ministro,423
europa,420
quase,417
recua,414
sem,412
já,409
janeiro,407
asiáticas,400
aumento,392
s,390
mundo,389
comércio,388
eike,388
meses,385
volta,380
reduz,380
vale,375
nas,374
dívida,366
mês,366
renda,365
março,360
menos,354
consumidor,349
fica,348
argentina,345
investimento,345
chuva,344
fim,342
bolsa,342
serasa,341
brasileiros,336
caem,335
pesquisa,330
copa,330
fevereiro,328
ter,327
caixa,319
confiança,319
brasileiro,316
2º,316
mg,314
mato,314
rs,312
greve,311
julho,311
justiça,310
dados,309
plano,309
grosso,306
terá,303
grécia,301
será,300
falta,296
emprego,296
construção,293
chega,293
trabalho,292
sul,292
primeiro,287
bndes,286
colheita,286
risco,285
prejuízo,283
exterior,282
ms,280
junho,280
fmi,280
europeias,278
começa,276
fiscal,276
brasileira,276
passa,275
nível,275
ainda,271
novembro,270
outubro,267
3º,267
zona,265
euro,265
novos,265
mi,265
pede,260
japão,260
imposto,258
uma,258
segundo,257
vez,257
setembro,255
leve,254
bilhão,253
agosto,253
estudo,252
estão,251
desemprego,251
dúvidas,249
previsão,249
atinge,249
registra,248
comercial,246
ogx,246
real,245
fernando,245
inadimplência,243
terça-feira,243
desacelera,242
valor,241
prazo,240
imóveis,239
prévia,237
oferta,237
taxa,235
vê,234
projeto,234
ajuda,234
semestre,233
nota,232
muda,232
grupo,231
três,231
estados,231
subir,230
dias,230
internet,229
mantém,229
anatel,229
aumenta,229
quarta-feira,228
área,228
fed,228
fábrica,227
café,226
seguido,225
vira,225
investimentos,224
devem,224
novas,223
varejo,221
juro,219
bate,218
código,216
abre,216
lavouras,216
ação,215
custo,215
lança,215
consumo,214
pagar,213
apple,213
segue,211
carros,211
industrial,209
índice,209
mundial,209
aeroportos,208
consultor,208
espera,206
estável,206
segunda-feira,205
senado,205
4º,204
causa,204
algodão,204
neste,202
casa,202
pr,202
central,202
federal,202
ranking,201
marca,201
cria,200
redução,200
número,198
quinta-feira,198
empresários,198
medidas,197
reduzir,197
seca,196
recuperação,195
pior,195
conta,194
segunda,194
porto,193
gasolina,192
perde,191
capital,191
serviços,191
acima,191
forte,190
ministério,189
florestal,189
perto,189
podem,188
foi,188
avança,187
facebook,187
fazer,186
dizem,186
sexta-feira,186
produtos,186
ipc-s,185
fazenda,185
câmara,185
funcionários,185
aneel,184
lei,184
perdas,183
países,183
eleva,182
fazem,181
crescem,181
empregos,181
plantio,180
primeira,180
corte,179
investir,179
indica,178
crescer,178
partir,178
contas,178
criadores,178
responde,178
impostos,177
espanha,177
prejudica,176
pagamento,176
valorização,176
cade,175
pregão,175
fernandes,175
antes,173
só,172
veículos,172
vão,171
famílias,171
criação,170
dá,170
obras,170
meta,169
reajuste,169
especial,169
programa,169
aluguel,169
tecnologia,168
rede,168
força,167
global,167
carne,167
adriana,167
líquido,166
ganha,166
celular,166
tri,166
estabilidade,166
