palavra,qt
de,78474
em,43206
da,31167
do,28055
e,24246
no,18830
para,18763
diz,16344
a,15210
com,13761
na,11337
estado,8142
o,7957
alta,7871
que,7652
agência,7349
por,7210
r$,7160
dos,6952
eua,6867
mais,6272
é,5741
brasil,5712
dólar,5498
queda,5116
tem,4894
governo,4668
após,4610
bolsas,4524
sobre,4430
fecha,4266
bovespa,4077
sobe,3913
não,3640
cai,3564
nos,3543
economia,3348
ao,3335
nesta,3146
inflação,3118
,3003
trimestre,2958
à,2931
milhões,2920
deve,2911
ações,2890
bc,2864
us$,2727
maior,2704
ano,2651
mercado,2617
petrobras,2604
se,2493
das,2475
produção,2455
china,2451
sp,2409
lucro,2404
vai,2397
até,2334
petróleo,2313
opera,2260
pode,2257
fecham,2244
bilhões,2096
empresas,2084
pib,2078
bolsa,2074
anos,2034
mas,2029
país,2027
preço,2027
cresce,2007
bi,1999
dia,1970
são,1939
juros,1933
nova,1829
vendas,1795
pelo,1782
crescimento,1770
negócios,1763
mil,1761
baixa,1752
paulo,1747
dilma,1737
sobem,1719
europa,1717
semana,1698
menor,1674
setor,1672
indústria,1662
pela,1606
acordo,1597
aprova,1590
crédito,1585
banco,1562
compra,1552
os,1529
novo,1529
contra,1521
crise,1503
bancos,1475
energia,1447
desde,1445
dados,1430
recorde,1415
&,1414
caem,1388
têm,1370
euro,1370
receita,1355
entre,1354
leilão,1336
anuncia,1332
ae,1323
faz,1315
como,1293
recua,1273
soja,1273
ser,1272
sem,1268
quer,1243
venda,1241
asiáticas,1238
preços,1237
fgv,1232
mantega,1228
aponta,1221
meses,1215
mt,1203
europeias,1200
veja,1193
dívida,1193
1º,1190
prevê,1184
fed,1181
ny,1163
está,1159
safra,1142
presidente,1138
eike,1130
argentina,1130
ibge,1129
zona,1126
grécia,1120
empresa,1118
mostra,1112
reduz,1109
confiança,1104
um,1103
produtores,1102
vale,1098
bndes,1091
2º,1089
ministro,1083
as,1079
julho,1079
abril,1072
quase,1071
rio,1055
janeiro,1053
consumidor,1046
agosto,1020
agricultores,1017
maio,1011
investimento,992
milho,989
aumento,984
ir,982
nas,972
fim,950
mês,942
nível,939
comércio,938
exterior,937
volta,936
outubro,931
fica,929
fernando,922
setembro,918
leve,917
fmi,915
3º,905
menos,904
japão,902
já,899
risco,898
fiscal,898
mantém,895
greve,895
emprego,883
abre,880
novembro,876
s,863
mi,861
março,861
vê,855
plano,846
junho,841
ter,835
ricardo,829
caixa,821
espera,817
taxa,816
renda,814
justiça,812
ainda,809
correspondente,805
silva,799
pede,796
terá,793
índice,791
rodrigues,788
industrial,785
serasa,775
brasileira,773
trabalho,773
atinge,770
ogx,770
prejuízo,765
cade,760
será,757
recuperação,756
pesquisa,753
desemprego,748
construção,745
fevereiro,744
comercial,725
mundo,725
previsão,725
semestre,721
eduardo,716
ajuda,707
meta,703
york,703
campos,698
estável,693
tri,693
forte,690
devem,687
varejo,687
gustavo,684
prazo,683
segundo,681
sul,679
copa,674
juro,672
medidas,664
consumo,663
real,662
investimentos,661
grupo,657
oferta,656
brasileiro,649
espanha,646
público,637
mato,631
primeiro,631
bulla,626
fernandes,624
estados,621
ação,621
brasileiros,617
grosso,616
vez,615
chega,614
demanda,613
central,612
segue,610
eleva,608
registra,607
perto,607
nota,605
política,605
ásia,605
falta,603
chuva,602
novos,598
mundial,598
passa,597
econômica,596
projeto,593
valor,592
rs,591
desacelera,589
inadimplência,589
ante,588
