DiadaSemana,Mes,Dia,Ano,Jornal,qtNoticias,qtComentarios,qtTweets,qtFacebook,qtLinkedIn,qtGooglePlus,qtTotalEngajamento,qtPos,qtNeg,qtNeu,classes
Thu,JUN,16,2005,ESTADAO,11,0,0,0,0,0,0,11,0,0,Bom
Fri,JUN,17,2005,ESTADAO,11,0,0,0,0,0,0,10,0,1,Bom
Mon,JUN,20,2005,ESTADAO,12,0,0,0,0,0,0,9,2,1,Levemente Ruim
Tue,JUN,21,2005,ESTADAO,4,0,0,0,0,0,0,2,1,1,Ruim
Wed,JUN,22,2005,ESTADAO,13,0,0,0,0,0,0,8,4,1,Levemente Ruim
Thu,JUN,23,2005,ESTADAO,17,0,0,0,0,0,0,11,2,4,Pessimo
Fri,JUN,24,2005,ESTADAO,13,0,0,2,0,0,2,7,4,2,Levemente Bom
Mon,JUN,27,2005,ESTADAO,13,0,0,2,0,0,2,5,7,1,Bom
Tue,JUN,28,2005,ESTADAO,14,0,0,0,0,0,0,8,3,3,Levemente Bom
Wed,JUN,29,2005,ESTADAO,6,0,0,0,0,0,0,5,0,1,Levemente Ruim
Thu,JUN,30,2005,ESTADAO,15,0,0,0,0,0,0,10,1,4,Levemente Ruim
Fri,JUL,1,2005,ESTADAO,3,0,0,0,0,0,0,1,2,0,Bom
Mon,JUL,4,2005,FOLHASP,1,0,0,0,0,0,0,1,0,0,Ruim
Mon,JUL,4,2005,ESTADAO,13,0,0,0,0,0,0,6,5,2,Ruim
Tue,JUL,5,2005,ESTADAO,5,0,0,0,0,0,0,4,1,0,Ruim
Wed,JUL,6,2005,ESTADAO,15,0,0,0,0,0,0,9,5,1,Levemente Ruim
Thu,JUL,7,2005,ESTADAO,4,0,0,0,0,0,0,2,1,1,Levemente Ruim
Fri,JUL,8,2005,ESTADAO,3,0,0,0,0,0,0,2,1,0,Levemente Ruim
Mon,JUL,11,2005,ESTADAO,1,0,0,0,0,0,0,1,0,0,Otimo
