data,quantidade
3/1/2015,8
2/27/2015,48
2/28/2015,24
2/26/2015,42
2/25/2015,46
2/24/2015,40
2/23/2015,23
2/22/2015,15
2/21/2015,14
2/20/2015,26
2/19/2015,14
2/17/2015,16
2/18/2015,23
2/16/2015,12
2/15/2015,15
2/13/2015,35
9/3/2012,106
8/30/2012,119
8/21/2012,98
8/17/2012,91
8/15/2012,117
2/14/2015,17
2/12/2015,24
2/11/2015,32
2/10/2015,28
2/9/2015,29
2/8/2015,24
2/7/2015,10
2/6/2015,26
2/5/2015,28
2/4/2015,23
2/3/2015,21
2/2/2015,25
2/1/2015,20
1/31/2015,9
1/30/2015,36
1/28/2015,29
1/27/2015,33
1/26/2015,27
1/25/2015,13
1/24/2015,14
1/23/2015,29
1/22/2015,30
1/21/2015,39
1/20/2015,25
1/19/2015,33
1/18/2015,16
1/17/2015,17
1/16/2015,31
1/15/2015,24
1/14/2015,24
1/13/2015,25
1/12/2015,26
1/11/2015,12
1/10/2015,10
1/9/2015,30
1/8/2015,29
1/7/2015,28
1/6/2015,23
1/29/2015,29
1/5/2015,28
9/14/2012,102
9/13/2012,102
9/12/2012,95
9/11/2012,97
9/10/2012,106
9/7/2012,35
9/6/2012,94
9/5/2012,98
9/17/2012,107
1/4/2015,17
12/29/2014,20
12/28/2014,14
10/17/2014,35
1/3/2015,11
1/2/2015,20
1/1/2015,9
12/31/2014,14
12/30/2014,19
12/27/2014,12
12/26/2014,15
12/25/2014,14
12/24/2014,18
12/23/2014,26
12/22/2014,25
12/21/2014,16
12/20/2014,15
12/19/2014,35
12/18/2014,26
12/17/2014,38
12/16/2014,40
12/15/2014,29
12/14/2014,14
12/13/2014,13
12/12/2014,37
12/11/2014,35
12/10/2014,41
12/9/2014,36
12/8/2014,29
12/7/2014,22
12/6/2014,16
12/5/2014,46
12/4/2014,29
12/3/2014,48
12/2/2014,33
12/1/2014,35
11/30/2014,16
11/29/2014,11
11/28/2014,48
11/27/2014,46
11/26/2014,48
11/25/2014,39
11/24/2014,35
11/23/2014,38
11/21/2014,32
11/20/2014,21
11/19/2014,30
11/18/2014,39
11/17/2014,30
11/16/2014,31
11/15/2014,14
11/14/2014,48
11/13/2014,44
11/12/2014,49
11/11/2014,43
11/10/2014,31
11/9/2014,19
11/8/2014,11
11/7/2014,34
11/6/2014,33
11/5/2014,26
11/4/2014,29
11/3/2014,36
11/2/2014,25
10/31/2014,45
10/30/2014,32
10/29/2014,35
10/28/2014,25
10/27/2014,20
10/26/2014,16
10/25/2014,10
10/24/2014,28
10/23/2014,25
10/22/2014,35
10/21/2014,31
10/20/2014,31
10/19/2014,15
10/18/2014,18
11/22/2014,18
11/1/2014,11
10/11/2014,16
8/27/2014,38
10/16/2014,27
10/15/2014,26
10/14/2014,31
10/13/2014,28
10/12/2014,12
10/10/2014,28
10/9/2014,27
10/8/2014,38
10/7/2014,31
10/6/2014,26
10/5/2014,17
10/4/2014,17
10/3/2014,32
10/2/2014,25
10/1/2014,36
9/30/2014,29
9/29/2014,38
9/28/2014,15
9/27/2014,18
9/26/2014,34
9/25/2014,45
9/24/2014,46
9/23/2014,36
9/22/2014,32
9/20/2014,20
9/19/2014,41
9/18/2014,42
9/17/2014,30
