data,quantidade
6/4/2012,275
10/20/2014,56
6/26/2012,309
6/25/2012,272
6/20/2012,255
6/19/2012,294
6/18/2012,287
6/5/2012,308
8/25/2014,42
8/4/2014,59
10/18/2014,14
11/25/2014,56
3/1/2015,17
2/26/2015,55
2/24/2015,45
2/23/2015,55
2/22/2015,10
2/21/2015,10
2/20/2015,33
2/19/2015,42
2/18/2015,24
2/17/2015,14
2/16/2015,14
2/15/2015,13
2/14/2015,4
2/13/2015,42
2/12/2015,47
2/11/2015,41
2/10/2015,50
2/9/2015,44
2/8/2015,14
2/7/2015,2
2/6/2015,48
2/5/2015,46
2/4/2015,51
2/3/2015,57
2/2/2015,42
2/1/2015,14
1/31/2015,12
1/30/2015,40
1/29/2015,45
1/28/2015,45
6/29/2012,289
6/28/2012,338
6/27/2012,347
2/28/2015,14
2/27/2015,56
2/25/2015,50
1/27/2015,43
1/26/2015,42
1/25/2015,10
1/24/2015,9
1/23/2015,44
1/22/2015,39
1/21/2015,43
7/18/2012,255
7/17/2012,241
7/16/2012,266
7/15/2012,33
7/14/2012,34
7/13/2012,182
7/12/2012,256
7/11/2012,305
7/10/2012,261
7/9/2012,217
7/8/2012,46
7/7/2012,29
7/6/2012,192
7/5/2012,257
7/4/2012,260
7/3/2012,294
7/2/2012,240
7/1/2012,35
1/20/2015,38
1/19/2015,46
1/16/2015,39
1/15/2015,45
1/14/2015,42
1/13/2015,37
1/12/2015,48
1/11/2015,14
1/10/2015,1
1/9/2015,44
1/8/2015,41
1/7/2015,31
1/6/2015,34
1/5/2015,35
1/2/2015,24
1/1/2015,6
12/31/2014,11
12/30/2014,38
12/29/2014,32
12/28/2014,8
12/26/2014,17
12/25/2014,6
12/24/2014,21
12/23/2014,37
12/22/2014,40
12/21/2014,11
12/20/2014,3
12/19/2014,44
12/18/2014,41
12/17/2014,49
12/16/2014,44
12/15/2014,35
12/14/2014,14
12/12/2014,41
12/11/2014,38
12/10/2014,43
12/9/2014,39
12/8/2014,40
12/7/2014,13
12/5/2014,46
12/4/2014,46
12/3/2014,45
12/2/2014,39
12/1/2014,44
11/28/2014,57
11/27/2014,52
11/26/2014,50
11/24/2014,61
11/20/2014,37
1/18/2015,8
1/17/2015,2
1/4/2015,11
1/3/2015,6
12/27/2014,3
11/18/2014,43
11/17/2014,56
11/14/2014,49
11/13/2014,53
11/11/2014,53
11/3/2014,52
10/15/2014,60
10/14/2014,48
10/9/2014,51
10/8/2014,60
10/7/2014,45
10/2/2014,55
9/30/2014,69
9/29/2014,50
9/26/2014,45
12/13/2014,6
8/16/2012,285
5/31/2012,266
5/30/2012,286
12/6/2014,4
11/30/2014,12
11/29/2014,6
11/23/2014,11
11/19/2014,56
8/14/2014,58
11/21/2014,39
11/16/2014,20
11/12/2014,49
11/10/2014,55
11/9/2014,13
11/8/2014,5
11/7/2014,52
11/6/2014,60
11/5/2014,51
11/4/2014,46
11/2/2014,9
10/31/2014,43
10/30/2014,47
10/29/2014,65
10/28/2014,39
10/27/2014,67
10/26/2014,11
10/24/2014,47
10/23/2014,60
10/22/2014,60
10/21/2014,48
10/19/2014,11
10/17/2014,38
10/16/2014,45
10/13/2014,46
10/10/2014,40
10/6/2014,46
10/5/2014,11
10/4/2014,4
10/3/2014,46
10/1/2014,59
9/28/2014,11
9/27/2014,7
9/25/2014,52
9/24/2014,56
9/23/2014,49
9/22/2014,48
11/15/2014,5
11/1/2014,9
10/12/2014,7
9/5/2014,49
11/22/2014,5
9/21/2014,11
9/20/2014,13
9/19/2014,49
9/18/2014,60
9/17/2014,55
9/16/2014,45
9/15/2014,44
9/14/2014,14
9/12/2014,33
9/11/2014,55
9/10/2014,41
9/9/2014,51
9/8/2014,51
9/7/2014,9
9/4/2014,54
9/3/2014,57
9/2/2014,52
9/1/2014,53
8/31/2014,13
8/29/2014,45
8/28/2014,65
8/27/2014,44
8/26/2014,54
8/22/2014,51
8/21/2014,47
8/20/2014,55
8/19/2014,52
8/18/2014,42
8/16/2014,1
8/15/2014,52
8/13/2014,58
8/12/2014,53
8/11/2014,61
8/9/2014,4
8/8/2014,64
8/7/2014,86
9/13/2014,5
9/6/2014,6
8/30/2014,7
8/23/2014,4
8/17/2014,10
8/15/2012,285
8/14/2012,339
8/13/2012,234
8/12/2012,38
8/11/2012,18
8/10/2012,214
8/9/2012,301
8/8/2012,313
8/7/2012,285
8/6/2012,294
8/2/2012,303
8/1/2012,261
7/31/2012,342
7/30/2012,203
7/23/2012,274
7/22/2012,46
7/21/2012,26
7/20/2012,220
7/19/2012,282
8/10/2014,10
7/3/2014,61
8/6/2014,82
8/5/2014,66
8/3/2014,13
8/2/2014,7
8/1/2014,65
7/31/2014,64
7/30/2014,69
7/29/2014,56
7/28/2014,55
7/27/2014,12
7/26/2014,4
7/25/2014,52
7/24/2014,58
7/23/2014,57
7/22/2014,49
7/21/2014,35
7/20/2014,11
7/19/2014,7
7/18/2014,50
7/17/2014,64
7/16/2014,61
7/15/2014,56
7/14/2014,57
7/13/2014,10
7/11/2014,45
7/10/2014,47
7/9/2014,42
7/8/2014,58
7/7/2014,56
7/6/2014,13
7/5/2014,6
7/4/2014,43
7/2/2014,65
7/1/2014,63
6/30/2014,60
6/29/2014,11
6/28/2014,5
6/27/2014,59
6/26/2014,63
6/25/2014,52
6/24/2014,57
6/23/2014,45
6/22/2014,14
6/21/2014,7
6/20/2014,30
7/12/2014,13
8/30/2012,331
8/29/2012,328
8/28/2012,302
8/27/2012,251
8/26/2012,52
8/25/2012,27
8/24/2012,195
8/23/2012,258
8/22/2012,263
8/21/2012,250
8/20/2012,247
8/19/2012,33
8/17/2012,197
9/9/2013,164
6/19/2014,20
6/18/2014,59
6/17/2014,42
6/16/2014,57
6/15/2014,14
6/14/2014,7
6/13/2014,46
6/12/2014,34
6/11/2014,62
6/10/2014,69
6/9/2014,57
6/8/2014,12
6/7/2014,7
6/6/2014,58
6/5/2014,68
6/4/2014,60
6/3/2014,53
6/2/2014,49
6/1/2014,11
5/31/2014,7
5/30/2014,64
5/29/2014,76
5/28/2014,54
5/27/2014,60
5/26/2014,40
5/25/2014,10
5/24/2014,9
5/23/2014,54
5/22/2014,57
5/21/2014,65
5/20/2014,46
5/19/2014,56
5/18/2014,15
5/17/2014,6
5/16/2014,53
5/15/2014,52
5/14/2014,66
5/13/2014,62
5/12/2014,56
5/11/2014,11
5/9/2014,60
5/8/2014,83
5/7/2014,76
5/6/2014,72
4/14/2014,63
12/6/2013,59
5/10/2014,7
12/11/2012,247
12/10/2012,219
12/5/2012,257
12/4/2012,248
12/3/2012,246
11/29/2012,228
11/28/2012,268
11/27/2012,225
11/23/2012,206
11/22/2012,204
11/21/2012,195
11/20/2012,165
11/19/2012,181
11/17/2012,23
11/16/2012,168
11/15/2012,86
11/14/2012,265
11/13/2012,253
11/12/2012,217
11/10/2012,21
11/9/2012,220
11/8/2012,225
11/7/2012,258
11/6/2012,224
11/5/2012,188
11/4/2012,29
11/2/2012,77
11/1/2012,231
10/31/2012,275
10/30/2012,226
10/29/2012,196
10/28/2012,25
10/27/2012,16
10/26/2012,189
9/27/2012,258
9/26/2012,209
9/25/2012,248
9/24/2012,216
9/23/2012,28
9/20/2012,207
9/19/2012,209
9/18/2012,240
9/17/2012,206
9/16/2012,15
9/14/2012,211
9/13/2012,237
9/12/2012,234
9/11/2012,225
9/10/2012,204
9/9/2012,23
9/7/2012,77
9/6/2012,230
9/5/2012,226
9/4/2012,244
9/3/2012,191
9/2/2012,30
9/1/2012,36
8/31/2012,271
5/5/2014,53
5/4/2014,15
5/3/2014,7
5/2/2014,63
5/1/2014,32
4/30/2014,83
4/29/2014,75
4/28/2014,68
4/27/2014,14
4/26/2014,9
4/25/2014,64
4/24/2014,72
4/23/2014,58
4/22/2014,58
4/21/2014,17
4/18/2014,11
4/17/2014,63
4/16/2014,65
4/15/2014,74
4/12/2014,7
4/11/2014,55
4/10/2014,78
4/9/2014,62
4/8/2014,66
4/7/2014,53
4/6/2014,13
4/5/2014,5
4/4/2014,62
4/3/2014,65
4/2/2014,74
4/1/2014,79
3/31/2014,59
3/30/2014,16
3/28/2014,61
3/27/2014,79
3/26/2014,73
3/25/2014,70
3/24/2014,86
3/23/2014,13
3/22/2014,7
3/21/2014,51
3/20/2014,56
3/19/2014,68
3/18/2014,79
3/17/2014,58
3/16/2014,15
3/15/2014,7
3/14/2014,51
3/13/2014,51
3/12/2014,74
3/11/2014,56
3/10/2014,53
3/9/2014,14
3/8/2014,3
3/7/2014,51
3/6/2014,47
3/5/2014,29
3/4/2014,10
3/3/2014,11
3/1/2014,5
2/28/2014,47
2/27/2014,55
2/26/2014,63
2/25/2014,59
2/24/2014,51
2/22/2014,9
2/21/2014,51
2/20/2014,73
2/19/2014,79
2/18/2014,53
2/17/2014,57
2/16/2014,11
2/15/2014,8
2/14/2014,61
2/13/2014,69
2/12/2014,54
2/11/2014,71
2/10/2014,67
2/9/2014,5
2/8/2014,11
2/7/2014,77
2/6/2014,61
2/5/2014,59
2/4/2014,68
2/3/2014,64
2/1/2014,7
1/31/2014,64
1/30/2014,83
1/29/2014,81
1/28/2014,59
1/27/2014,58
1/26/2014,14
1/25/2014,11
1/24/2014,62
4/20/2014,12
4/19/2014,6
4/13/2014,14
3/29/2014,7
3/2/2014,10
2/23/2014,12
2/2/2014,10
1/23/2014,79
3/14/2013,241
3/13/2013,204
3/12/2013,235
3/11/2013,189
3/10/2013,22
3/8/2013,212
3/7/2013,282
3/6/2013,258
3/5/2013,240
3/4/2013,198
3/1/2013,256
2/28/2013,250
2/27/2013,238
2/26/2013,223
2/25/2013,220
2/24/2013,20
2/23/2013,28
2/22/2013,204
2/21/2013,238
2/20/2013,244
2/19/2013,245
2/18/2013,197
2/15/2013,188
2/14/2013,188
2/13/2013,164
2/12/2013,58
2/11/2013,48
2/8/2013,179
2/7/2013,215
2/6/2013,229
2/5/2013,277
2/4/2013,218
2/3/2013,35
2/2/2013,15
2/1/2013,258
1/31/2013,239
1/30/2013,251
1/3/2013,170
1/2/2013,142
1/1/2013,51
12/31/2012,77
12/30/2012,31
12/28/2012,168
12/27/2012,184
12/24/2012,69
12/21/2012,169
12/20/2012,192
12/19/2012,255
12/18/2012,249
12/14/2012,214
12/12/2012,234
1/22/2014,67
1/21/2014,52
1/20/2014,54
1/19/2014,11
1/17/2014,49
1/16/2014,56
1/15/2014,68
1/14/2014,61
1/13/2014,58
1/12/2014,11
1/11/2014,6
1/10/2014,63
1/9/2014,73
1/8/2014,56
1/7/2014,46
1/6/2014,55
1/5/2014,7
1/4/2014,5
1/3/2014,45
1/2/2014,40
1/1/2014,7
12/31/2013,27
12/30/2013,33
12/29/2013,19
12/28/2013,9
12/27/2013,57
12/26/2013,53
12/25/2013,8
12/24/2013,29
