ano,jornal,quantidade
2000,G1,0
2000,FOLHASP,1211
2000,ESTADAO,1831
2001,G1,0
2001,FOLHASP,0
2001,ESTADAO,2472
2002,G1,0
2002,FOLHASP,5
2002,ESTADAO,12193
2003,G1,0
2003,FOLHASP,0
2003,ESTADAO,5810
2004,G1,0
2004,FOLHASP,1
2004,ESTADAO,4948
2005,G1,0
2005,FOLHASP,8
2005,ESTADAO,3245
2006,G1,0
2006,FOLHASP,1
2006,ESTADAO,7190
2007,G1,0
2007,FOLHASP,7744
2007,ESTADAO,7377
2008,G1,0
2008,FOLHASP,15014
2008,ESTADAO,13315
2009,G1,0
2009,FOLHASP,15063
2009,ESTADAO,14884
2010,G1,1913
2010,FOLHASP,14511
2010,ESTADAO,23779
2011,G1,60737
2011,FOLHASP,13430
2011,ESTADAO,24526
2012,G1,61090
2012,FOLHASP,16905
2012,ESTADAO,20834
2013,G1,45055
2013,FOLHASP,17982
2013,ESTADAO,15273
2014,G1,15060
2014,FOLHASP,10362
2014,ESTADAO,12639
2015,G1,1878
2015,FOLHASP,1434
2015,ESTADAO,1080
