data,G1,FOLHASP,ESTADAO
1-1-2000,0,0,0
1-2-2000,0,0,0
1-3-2000,0,0,0
1-4-2000,0,0,0
1-5-2000,0,0,0
1-6-2000,0,0,0
1-7-2000,0,0,0
1-8-2000,0,0,0
1-9-2000,0,0,0
1-10-2000,0,0,0
1-11-2000,0,0,0
1-12-2000,0,0,0
1-13-2000,0,0,0
1-14-2000,0,0,0
1-15-2000,0,0,0
1-16-2000,0,0,0
1-17-2000,0,0,0
1-18-2000,0,0,0
1-19-2000,0,0,0
1-20-2000,0,0,0
1-21-2000,0,0,0
1-22-2000,0,0,0
1-23-2000,0,0,0
1-24-2000,0,0,0
1-25-2000,0,0,0
1-26-2000,0,0,0
1-27-2000,0,0,0
1-28-2000,0,0,0
1-29-2000,0,0,0
1-30-2000,0,0,0
1-31-2000,0,0,0
2-1-2000,0,0,0
2-2-2000,0,0,0
2-3-2000,0,0,0
2-4-2000,0,0,0
2-5-2000,0,0,0
2-6-2000,0,0,0
2-7-2000,0,0,0
2-8-2000,0,0,0
2-9-2000,0,0,0
2-10-2000,0,0,0
2-11-2000,0,0,0
2-12-2000,0,0,0
2-13-2000,0,0,0
2-14-2000,0,0,0
2-15-2000,0,0,0
2-16-2000,0,0,0
2-17-2000,0,0,0
2-18-2000,0,0,0
2-19-2000,0,0,0
2-20-2000,0,0,0
2-21-2000,0,0,0
2-22-2000,0,0,0
2-23-2000,0,0,0
2-24-2000,0,0,0
2-25-2000,0,0,0
2-26-2000,0,0,0
2-27-2000,0,0,0
2-28-2000,0,0,0
2-29-2000,0,0,0
3-1-2000,0,0,0
3-2-2000,0,0,0
3-3-2000,0,0,0
3-4-2000,0,0,0
3-5-2000,0,0,0
3-6-2000,0,0,0
3-7-2000,0,0,0
3-8-2000,0,0,0
3-9-2000,0,0,0
3-10-2000,0,0,0
3-11-2000,0,0,0
3-12-2000,0,0,0
3-13-2000,0,0,0
3-14-2000,0,0,0
3-15-2000,0,0,0
3-16-2000,0,0,0
3-17-2000,0,0,0
3-18-2000,0,0,0
3-19-2000,0,0,0
3-20-2000,0,0,0
3-21-2000,0,0,0
3-22-2000,0,0,0
3-23-2000,0,0,0
3-24-2000,0,0,0
3-25-2000,0,0,0
3-26-2000,0,0,0
3-27-2000,0,0,0
3-28-2000,0,0,0
3-29-2000,0,0,0
3-30-2000,0,0,0
3-31-2000,0,0,0
4-1-2000,0,0,0
4-2-2000,0,0,0
4-3-2000,0,0,0
4-4-2000,0,0,0
4-5-2000,0,0,0
4-6-2000,0,0,0
4-7-2000,0,0,0
4-8-2000,0,0,0
4-9-2000,0,0,0
4-10-2000,0,0,0
4-11-2000,0,0,0
4-12-2000,0,0,0
4-13-2000,0,0,0
4-14-2000,0,0,0
4-15-2000,0,0,0
4-16-2000,0,0,0
4-17-2000,0,0,0
4-18-2000,0,0,0
4-19-2000,0,0,0
4-20-2000,0,20,0
4-21-2000,0,9,0
4-22-2000,0,7,0
4-23-2000,0,5,0
4-24-2000,0,0,0
4-25-2000,0,44,0
4-26-2000,0,0,0
4-27-2000,0,4,0
4-28-2000,0,8,0
4-29-2000,0,1,0
4-30-2000,0,9,0
5-1-2000,0,27,0
5-2-2000,0,41,7
5-3-2000,0,9,9
5-4-2000,0,0,12
5-5-2000,0,1,6
5-6-2000,0,2,0
5-7-2000,0,12,0
5-8-2000,0,34,7
5-9-2000,0,33,9
5-10-2000,0,43,6
5-11-2000,0,15,5
5-12-2000,0,5,10
5-13-2000,0,0,0
5-14-2000,0,0,0
5-15-2000,0,28,7
5-16-2000,0,12,11
5-17-2000,0,0,10
5-18-2000,0,0,12
5-19-2000,0,35,8
5-20-2000,0,4,0
5-21-2000,0,4,0
5-22-2000,0,88,11
5-23-2000,0,31,10
5-24-2000,0,41,11
5-25-2000,0,35,6
5-26-2000,0,81,11
5-27-2000,0,0,0
5-28-2000,0,12,0
5-29-2000,0,66,7
5-30-2000,0,55,9
5-31-2000,0,78,4
6-1-2000,0,56,8
6-2-2000,0,55,13
6-3-2000,0,0,0
