MongoDB shell version: 3.0.0
connecting to: stocks
data,G1,FOLHASP,ESTADAO
1,5991,3532,5286
2,5606,3495,5269
3,5953,3690,5495
4,6138,3663,5486
5,6093,3779,5639
6,6317,3719,5375
7,6004,3621,5279
8,5968,3741,5717
9,6008,3621,5696
10,6358,3929,5757
11,6208,3702,5582
12,5666,3643,5645
13,6216,3763,5756
14,6557,3907,5920
15,5948,3658,5671
16,6226,3759,5520
17,6237,3842,5641
18,6382,3784,5663
19,6161,3699,5657
20,5965,3640,5819
21,5981,3577,5348
22,5808,3737,5637
23,5848,3684,5601
24,5770,3637,5509
25,5984,3675,5320
26,6152,3849,5676
27,6520,3795,6102
28,6478,3945,5931
29,5793,3823,5618
30,5571,3541,5513
31,3826,2221,3268
