MongoDB shell version: 3.0.0
connecting to: stocks
data,G1,FOLHASP,ESTADAO
1-2000,0,0,0
2-2000,0,0,0
3-2000,0,0,0
4-2000,0,107,0
5-2000,0,792,188
6-2000,0,311,205
7-2000,0,0,241
8-2000,0,0,246
9-2000,0,1,248
10-2000,0,0,254
11-2000,0,0,242
12-2000,0,0,207
1-2001,0,0,299
2-2001,0,0,311
3-2001,0,0,244
4-2001,0,0,180
5-2001,0,0,197
6-2001,0,0,168
7-2001,0,0,203
8-2001,0,0,225
9-2001,0,0,176
10-2001,0,0,171
11-2001,0,0,145
12-2001,0,0,153
1-2002,0,0,1073
2-2002,0,0,985
3-2002,0,0,919
4-2002,0,0,1177
5-2002,0,0,941
6-2002,0,0,1071
7-2002,0,2,1157
8-2002,0,0,1119
9-2002,0,3,1053
10-2002,0,0,952
11-2002,0,0,1034
12-2002,0,0,712
1-2003,0,0,633
2-2003,0,0,660
3-2003,0,0,530
4-2003,0,0,543
5-2003,0,0,897
6-2003,0,0,395
7-2003,0,0,346
8-2003,0,0,371
9-2003,0,0,405
10-2003,0,0,358
11-2003,0,0,293
12-2003,0,0,379
1-2004,0,0,295
2-2004,0,0,339
3-2004,0,0,507
4-2004,0,0,460
5-2004,0,1,386
6-2004,0,0,385
7-2004,0,0,433
8-2004,0,0,381
9-2004,0,0,421
10-2004,0,0,428
11-2004,0,0,477
12-2004,0,0,436
1-2005,0,0,281
2-2005,0,0,239
3-2005,0,0,305
4-2005,0,0,254
5-2005,0,0,284
6-2005,0,0,295
7-2005,0,1,209
8-2005,0,2,295
9-2005,0,3,303
10-2005,0,1,306
11-2005,0,1,249
12-2005,0,0,225
1-2006,0,0,410
2-2006,0,0,480
3-2006,0,0,567
4-2006,0,0,543
5-2006,0,0,714
6-2006,0,0,639
7-2006,0,0,607
8-2006,0,0,730
9-2006,0,0,660
10-2006,0,0,651
11-2006,0,1,614
12-2006,0,0,575
1-2007,0,2,720
2-2007,0,0,504
3-2007,0,0,694
4-2007,0,0,666
5-2007,0,281,23
6-2007,0,1032,133
7-2007,0,956,420
8-2007,0,1231,780
9-2007,0,1059,636
10-2007,0,1174,948
11-2007,0,1094,876
12-2007,0,915,977
1-2008,0,1146,1086
2-2008,0,999,933
3-2008,0,1114,1103
4-2008,0,1281,1377
5-2008,0,1160,965
6-2008,0,1228,946
7-2008,0,1360,731
8-2008,0,1174,568
9-2008,0,1337,1033
10-2008,0,1688,1538
11-2008,0,1270,1605
12-2008,0,1257,1430
1-2009,0,1284,1431
2-2009,0,1214,1418
3-2009,0,1481,1836
4-2009,0,1280,1642
5-2009,0,1172,1404
6-2009,0,1172,1230
7-2009,0,1321,1243
8-2009,0,1219,1270
9-2009,0,1266,1175
10-2009,0,1243,764
11-2009,0,1236,682
12-2009,0,1175,789
1-2010,0,1124,1222
2-2010,0,1095,1335
3-2010,0,1235,1894
4-2010,41,1132,2006
5-2010,2,1289,2252
6-2010,1,1265,2238
7-2010,0,1218,2122
8-2010,0,1272,2154
9-2010,0,1167,2033
10-2010,0,1218,2035
11-2010,1,1298,2422
12-2010,1868,1198,2066
1-2011,4581,1127,1958
2-2011,4462,1122,1774
3-2011,4907,1119,2019
4-2011,4650,851,2122
5-2011,5284,918,2184
6-2011,4728,1155,2362
7-2011,5110,1306,2193
8-2011,5823,1531,2608
9-2011,5862,1274,2145
10-2011,5859,929,1774
11-2011,5229,1191,1830
12-2011,4242,907,1557
1-2012,4810,757,1476
2-2012,4420,760,1474
3-2012,4540,771,1819
4-2012,4595,810,1532
5-2012,5345,1088,1946
6-2012,6089,1360,1842
7-2012,5929,2207,1874
8-2012,6490,2555,1812
9-2012,4538,1904,1926
10-2012,5222,1580,1919
11-2012,4757,1607,1649
12-2012,4355,1506,1565
1-2013,4651,1185,1673
2-2013,4264,1120,1479
3-2013,4796,1288,1545
4-2013,4634,1402,1311
5-2013,4468,1344,1143
6-2013,3717,1152,1066
7-2013,3975,2066,962
8-2013,4147,2145,1285
9-2013,3932,1780,1141
10-2013,3593,2020,1254
11-2013,1484,1666,1128
12-2013,1394,814,1286
1-2014,1401,766,1390
2-2014,1312,840,993
3-2014,1270,846,1021
4-2014,1445,843,1173
5-2014,1387,873,2370
6-2014,1188,793,868
7-2014,1339,911,668
8-2014,1270,996,610
9-2014,1194,931,1005
10-2014,1234,818,1026
11-2014,1122,935,854
12-2014,898,810,661
1-2015,924,726,552
2-2015,937,700,506
3-2015,17,8,22
4-2015,0,0,0
5-2015,0,0,0
6-2015,0,0,0
7-2015,0,0,0
8-2015,0,0,0
9-2015,0,0,0
10-2015,0,0,0
11-2015,0,0,0
12-2015,0,0,0
