DiadaSemana,Mes,Dia,Ano,Jornal,Quantidade
Sat,JAN,1,2000,G1,0
Sat,JAN,1,2000,FOLHASP,0
Sat,JAN,1,2000,ESTADAO,0
Sun,JAN,2,2000,G1,0
Sun,JAN,2,2000,FOLHASP,0
Sun,JAN,2,2000,ESTADAO,0
Mon,JAN,3,2000,G1,0
Mon,JAN,3,2000,FOLHASP,0
Mon,JAN,3,2000,ESTADAO,0
Tue,JAN,4,2000,G1,0
Tue,JAN,4,2000,FOLHASP,0
Tue,JAN,4,2000,ESTADAO,0
Wed,JAN,5,2000,G1,0
Wed,JAN,5,2000,FOLHASP,0
Wed,JAN,5,2000,ESTADAO,0
Thu,JAN,6,2000,G1,0
Thu,JAN,6,2000,FOLHASP,0
Thu,JAN,6,2000,ESTADAO,0
Fri,JAN,7,2000,G1,0
Fri,JAN,7,2000,FOLHASP,0
Fri,JAN,7,2000,ESTADAO,0
Sat,JAN,8,2000,G1,0
Sat,JAN,8,2000,FOLHASP,0
Sat,JAN,8,2000,ESTADAO,0
Sun,JAN,9,2000,G1,0
Sun,JAN,9,2000,FOLHASP,0
Sun,JAN,9,2000,ESTADAO,0
Mon,JAN,10,2000,G1,0
Mon,JAN,10,2000,FOLHASP,0
Mon,JAN,10,2000,ESTADAO,0
Tue,JAN,11,2000,G1,0
Tue,JAN,11,2000,FOLHASP,0
Tue,JAN,11,2000,ESTADAO,0
Wed,JAN,12,2000,G1,0
Wed,JAN,12,2000,FOLHASP,0
Wed,JAN,12,2000,ESTADAO,0
Thu,JAN,13,2000,G1,0
Thu,JAN,13,2000,FOLHASP,0
Thu,JAN,13,2000,ESTADAO,0
Fri,JAN,14,2000,G1,0
Fri,JAN,14,2000,FOLHASP,0
Fri,JAN,14,2000,ESTADAO,0
Sat,JAN,15,2000,G1,0
Sat,JAN,15,2000,FOLHASP,0
Sat,JAN,15,2000,ESTADAO,0
Sun,JAN,16,2000,G1,0
Sun,JAN,16,2000,FOLHASP,0
Sun,JAN,16,2000,ESTADAO,0
Mon,JAN,17,2000,G1,0
Mon,JAN,17,2000,FOLHASP,0
Mon,JAN,17,2000,ESTADAO,0
Tue,JAN,18,2000,G1,0
Tue,JAN,18,2000,FOLHASP,0
Tue,JAN,18,2000,ESTADAO,0
Wed,JAN,19,2000,G1,0
Wed,JAN,19,2000,FOLHASP,0
Wed,JAN,19,2000,ESTADAO,0
Thu,JAN,20,2000,G1,0
Thu,JAN,20,2000,FOLHASP,0
Thu,JAN,20,2000,ESTADAO,0
Fri,JAN,21,2000,G1,0
Fri,JAN,21,2000,FOLHASP,0
Fri,JAN,21,2000,ESTADAO,0
Sat,JAN,22,2000,G1,0
Sat,JAN,22,2000,FOLHASP,0
Sat,JAN,22,2000,ESTADAO,0
Sun,JAN,23,2000,G1,0
Sun,JAN,23,2000,FOLHASP,0
Sun,JAN,23,2000,ESTADAO,0
Mon,JAN,24,2000,G1,0
Mon,JAN,24,2000,FOLHASP,0
Mon,JAN,24,2000,ESTADAO,0
Tue,JAN,25,2000,G1,0
Tue,JAN,25,2000,FOLHASP,0
Tue,JAN,25,2000,ESTADAO,0
Wed,JAN,26,2000,G1,0
Wed,JAN,26,2000,FOLHASP,0
Wed,JAN,26,2000,ESTADAO,0
Thu,JAN,27,2000,G1,0
Thu,JAN,27,2000,FOLHASP,0
Thu,JAN,27,2000,ESTADAO,0
Fri,JAN,28,2000,G1,0
Fri,JAN,28,2000,FOLHASP,0
Fri,JAN,28,2000,ESTADAO,0
Sat,JAN,29,2000,G1,0
Sat,JAN,29,2000,FOLHASP,0
Sat,JAN,29,2000,ESTADAO,0
Sun,JAN,30,2000,G1,0
Sun,JAN,30,2000,FOLHASP,0
Sun,JAN,30,2000,ESTADAO,0
Mon,JAN,31,2000,G1,0
Mon,JAN,31,2000,FOLHASP,0
Mon,JAN,31,2000,ESTADAO,0
Tue,FEV,1,2000,G1,0
Tue,FEV,1,2000,FOLHASP,0
Tue,FEV,1,2000,ESTADAO,0
Wed,FEV,2,2000,G1,0
Wed,FEV,2,2000,FOLHASP,0
Wed,FEV,2,2000,ESTADAO,0
Thu,FEV,3,2000,G1,0
Thu,FEV,3,2000,FOLHASP,0
Thu,FEV,3,2000,ESTADAO,0
Fri,FEV,4,2000,G1,0
Fri,FEV,4,2000,FOLHASP,0
Fri,FEV,4,2000,ESTADAO,0
Sat,FEV,5,2000,G1,0
Sat,FEV,5,2000,FOLHASP,0
Sat,FEV,5,2000,ESTADAO,0
Sun,FEV,6,2000,G1,0
Sun,FEV,6,2000,FOLHASP,0
Sun,FEV,6,2000,ESTADAO,0
Mon,FEV,7,2000,G1,0
Mon,FEV,7,2000,FOLHASP,0
Mon,FEV,7,2000,ESTADAO,0
Tue,FEV,8,2000,G1,0
