palavra,qt
de,70573
em,37298
do,24705
da,24377
e,21054
para,17307
no,17247
a,14214
diz,14156
com,11531
na,10093
que,7147
o,7130
r$,6995
por,6615
alta,6022
brasil,5843
mais,5824
é,5487
dos,5404
eua,4966
dólar,4576
governo,4408
tem,4300
queda,4059
após,3845
sobre,3796
estado,3686
fecha,3517
não,3241
bovespa,3173
sobe,3166
agência,3109
ao,2990
cai,2887
,2864
milhões,2854
nos,2770
bolsas,2727
petrobras,2614
economia,2560
à,2553
deve,2521
inflação,2521
nesta,2514
trimestre,2511
us$,2479
maior,2471
ano,2412
ações,2411
sp,2329
vai,2327
mercado,2314
das,2236
se,2229
até,2224
produção,2209
bc,2205
lucro,2179
pode,2072
bilhões,1946
são,1929
anos,1913
bi,1906
preço,1901
empresas,1888
país,1877
opera,1872
cresce,1784
china,1771
dilma,1769
bolsa,1769
dia,1739
pib,1718
mas,1665
petróleo,1647
compra,1582
mil,1582
pelo,1557
nova,1530
vendas,1519
juros,1487
pela,1486
paulo,1486
aprova,1482
setor,1459
menor,1455
fecham,1445
contra,1441
novo,1432
crescimento,1415
os,1404
acordo,1401
banco,1394
crédito,1381
indústria,1374
energia,1367
semana,1365
anuncia,1345
crise,1335
baixa,1316
recorde,1313
negócios,1299
desde,1290
entre,1270
receita,1255
como,1254
faz,1251
europa,1225
soja,1225
quer,1222
sobem,1214
bancos,1193
venda,1190
mt,1184
veja,1179
ser,1175
leilão,1153
empresa,1134
rio,1129
têm,1107
presidente,1079
1º,1074
vale,1066
safra,1066
sem,1062
prevê,1053
mantega,1052
aponta,1050
ibge,1045
preços,1044
caem,1042
um,1038
argentina,1034
está,1027
reduz,1023
eike,1020
as,1020
&,1013
produtores,999
dívida,989
fgv,985
dados,983
meses,981
recua,975
ir,973
ministro,969
2º,968
milho,964
greve,961
bndes,960
quase,951
aumento,927
mostra,924
investimento,923
asiáticas,891
mi,886
justiça,883
agricultores,877
julho,876
consumidor,856
nas,850
já,844
euro,844
abril,843
fim,842
agosto,842
janeiro,835
maio,832
comércio,830
volta,820
ae,820
mês,815
plano,812
menos,809
confiança,809
fed,800
ter,799
europeias,785
fiscal,782
outubro,782
fica,779
renda,778
brasileira,774
3º,772
terá,765
será,765
setembro,764
risco,763
trabalho,760
caixa,754
novembro,748
grécia,744
zona,744
nível,734
fernando,729
mundo,725
prejuízo,715
ainda,713
pesquisa,713
vê,710
pede,701
exterior,692
leve,689
mantém,687
