palavra,qt
de,99715
em,52723
da,38023
do,35128
e,30350
para,24426
no,24170
a,19719
diz,19686
com,16985
na,14311
o,10102
r$,9908
que,9871
por,9445
alta,9000
estado,8932
dos,8350
brasil,8149
mais,8130
eua,8044
agência,7868
é,7556
dólar,6569
governo,6336
tem,6026
queda,5844
após,5471
sobre,5458
bovespa,5154
bolsas,5152
fecha,5043
sobe,4778
não,4693
cai,4400
nos,4338
ao,4145
economia,3919
milhões,3774
deve,3708
à,3707
inflação,3666
us$,3636
petrobras,3630
trimestre,3580
maior,3535
ações,3516
ano,3461
bc,3378
,3358
vai,3337
mercado,3316
nesta,3283
até,3205
se,3190
lucro,3183
das,3162
sp,3098
pode,3087
produção,3072
china,2952
bi,2938
petróleo,2852
empresas,2751
cresce,2744
país,2732
bilhões,2633
são,2625
anos,2570
preço,2526
bolsa,2476
pib,2475
mas,2474
dia,2449
fecham,2421
juros,2398
mil,2338
vendas,2323
opera,2316
nova,2310
dilma,2278
paulo,2276
pelo,2177
menor,2169
setor,2148
compra,2139
crescimento,2116
indústria,2098
europa,2092
banco,2076
crédito,2074
contra,2050
pela,2034
aprova,2027
acordo,2025
sobem,2009
novo,2009
recorde,1968
crise,1965
negócios,1955
semana,1949
baixa,1929
bancos,1907
energia,1881
desde,1879
os,1872
quer,1854
anuncia,1807
receita,1774
faz,1764
entre,1750
venda,1697
leilão,1665
aponta,1663
caem,1643
ser,1642
têm,1639
sem,1633
vale,1613
como,1606
recua,1594
dados,1590
prevê,1564
&,1545
presidente,1545
mantega,1541
rio,1524
1º,1524
empresa,1521
eike,1520
um,1490
euro,1489
reduz,1471
meses,1468
veja,1467
bndes,1467
preços,1465
mi,1459
dívida,1453
está,1446
soja,1428
ae,1392
europeias,1390
fgv,1383
greve,1375
ibge,1375
argentina,1374
2º,1352
ministro,1348
safra,1339
investimento,1336
asiáticas,1330
as,1329
julho,1314
quase,1310
consumidor,1305
grécia,1301
abril,1270
ir,1265
ny,1264
janeiro,1261
fed,1253
mt,1245
agosto,1233
já,1231
confiança,1231
aumento,1230
zona,1225
fim,1224
mês,1222
mostra,1220
nas,1217
maio,1213
justiça,1196
volta,1177
plano,1175
comércio,1152
produtores,1152
fernando,1146
menos,1134
ter,1131
caixa,1127
nível,1126
terá,1122
fica,1119
milho,1109
outubro,1108
risco,1106
exterior,1100
fiscal,1099
mantém,1090
será,1088
atinge,1087
vê,1083
fmi,1083
setembro,1082
3º,1075
taxa,1070
abre,1064
ainda,1049
brasileira,1048
japão,1039
