Setor,Coluna,Media,Tecnica
Bens Industriais,media,0.375341,QtNoticias
Bens Industriais,negocios,0.470746,QtNoticias
Bens Industriais,quantidade_papeis,0.492406,QtNoticias
Bens Industriais,volume_financeiro,0.488643,QtNoticias
Construcao e Transporte,media,0.392626,QtNoticias
Construcao e Transporte,negocios,0.463958,QtNoticias
Construcao e Transporte,quantidade_papeis,0.485407,QtNoticias
Construcao e Transporte,volume_financeiro,0.488297,QtNoticias
Consumo Ciclico,media,0.458687,QtNoticias
Consumo Ciclico,negocios,0.459841,QtNoticias
Consumo Ciclico,quantidade_papeis,0.497625,QtNoticias
Consumo Ciclico,volume_financeiro,0.497085,QtNoticias
Consumo nao Ciclico,media,0.438509,QtNoticias
Consumo nao Ciclico,negocios,0.456434,QtNoticias
Consumo nao Ciclico,quantidade_papeis,0.482470,QtNoticias
Consumo nao Ciclico,volume_financeiro,0.478586,QtNoticias
Financeiro e Outros,media,0.425602,QtNoticias
Financeiro e Outros,negocios,0.463639,QtNoticias
Financeiro e Outros,quantidade_papeis,0.487533,QtNoticias
Financeiro e Outros,volume_financeiro,0.485338,QtNoticias
Materiais Basicos,media,0.411484,QtNoticias
Materiais Basicos,negocios,0.462577,QtNoticias
Materiais Basicos,quantidade_papeis,0.489624,QtNoticias
Materiais Basicos,volume_financeiro,0.493411,QtNoticias
Petroleo. Gas e Biocombustiveis,media,0.431254,QtNoticias
Petroleo. Gas e Biocombustiveis,negocios,0.469954,QtNoticias
Petroleo. Gas e Biocombustiveis,quantidade_papeis,0.487653,QtNoticias
Petroleo. Gas e Biocombustiveis,volume_financeiro,0.490420,QtNoticias
Telecomunicacoes,media,0.451875,QtNoticias
Telecomunicacoes,negocios,0.463680,QtNoticias
Telecomunicacoes,quantidade_papeis,0.486837,QtNoticias
Telecomunicacoes,volume_financeiro,0.489469,QtNoticias
Utilidade Publica,media,0.394774,QtNoticias
Utilidade Publica,negocios,0.462035,QtNoticias
Utilidade Publica,quantidade_papeis,0.482808,QtNoticias
Utilidade Publica,volume_financeiro,0.493417,QtNoticias
