Bens Industriais
	media 0.411921285877 RandomForestClassifier
	negocios 0.510249772241 RandomForestClassifier
	quantidade_papeis 0.525052198576 RandomForestClassifier
	volume_financeiro 0.522792037669 RandomForestClassifier
Construcao e Transporte
	media 0.420717070063 RandomForestClassifier
	negocios 0.530515698213 DecisionTreeClassifier
	quantidade_papeis 0.522692642242 DecisionTreeClassifier
	volume_financeiro 0.52813573478 DecisionTreeClassifier
Consumo Ciclico
	media 0.464181968469 RandomForestClassifier
	negocios 0.521215639183 GradientBoostingClassifier
	quantidade_papeis 0.525784941128 GradientBoostingClassifier
	volume_financeiro 0.530334954569 RandomForestClassifier
Consumo nao Ciclico
	media 0.463488544793 RandomForestClassifier
	negocios 0.525958677146 ExtraTreesClassifier
	quantidade_papeis 0.52485698007 GradientBoostingClassifier
	volume_financeiro 0.523866515112 ExtraTreesClassifier
Financeiro e Outros
	media 0.452337399725 RandomForestClassifier
	negocios 0.520156588733 ExtraTreesClassifier
	quantidade_papeis 0.520801265613 RandomForestClassifier
	volume_financeiro 0.517322663041 ExtraTreesClassifier
Materiais Basicos
	media 0.435358120634 RandomForestClassifier
	negocios 0.524960394221 RandomForestClassifier
	quantidade_papeis 0.519925990294 RandomForestClassifier
	volume_financeiro 0.52911458935 RandomForestClassifier
Petroleo. Gas e Biocombustiveis
	media 0.447885937359 RandomForestClassifier
	negocios 0.527615006457 RandomForestClassifier
	quantidade_papeis 0.516686747433 GradientBoostingClassifier
	volume_financeiro 0.520983406863 AdaBoostClassifier
Telecomunicacoes
	media 0.471091255158 RandomForestClassifier
	negocios 0.522132244714 RandomForestClassifier
	quantidade_papeis 0.519297737492 GradientBoostingClassifier
	volume_financeiro 0.516713162209 DecisionTreeClassifier
Utilidade Publica
	media 0.440100467573 RandomForestClassifier
	negocios 0.524941363957 RandomForestClassifier
	quantidade_papeis 0.522322940288 ExtraTreesClassifier
	volume_financeiro 0.519876568449 GradientBoostingClassifier
