Setor,Coluna,Media,Tecnica
Bens Industriais,media,0.409239842726,GradientBoostingClassifier
Bens Industriais,negocios,0.515259314735,GradientBoostingClassifier
Bens Industriais,quantidade_papeis,0.518933720277,GradientBoostingClassifier
Bens Industriais,volume_financeiro,0.520057105411,GradientBoostingClassifier
Construcao e Transporte,media,0.442978387905,GradientBoostingClassifier
Construcao e Transporte,negocios,0.523026620907,GradientBoostingClassifier
Construcao e Transporte,quantidade_papeis,0.518087375939,GradientBoostingClassifier
Construcao e Transporte,volume_financeiro,0.514701790186,AdaBoostClassifier
Consumo Ciclico,media,0.471237909226,AdaBoostClassifier
Consumo Ciclico,negocios,0.51795014881,RandomForestClassifier
Consumo Ciclico,quantidade_papeis,0.516996837798,AdaBoostClassifier
Consumo Ciclico,volume_financeiro,0.522623697917,GradientBoostingClassifier
Consumo nao Ciclico,media,0.460695756902,AdaBoostClassifier
Consumo nao Ciclico,negocios,0.520613303687,GradientBoostingClassifier
Consumo nao Ciclico,quantidade_papeis,0.521053362979,GradientBoostingClassifier
Consumo nao Ciclico,volume_financeiro,0.522049286641,RandomForestClassifier
Financeiro e Outros,media,0.460105643592,GradientBoostingClassifier
Financeiro e Outros,negocios,0.531391900658,GradientBoostingClassifier
Financeiro e Outros,quantidade_papeis,0.517977944583,GradientBoostingClassifier
Financeiro e Outros,volume_financeiro,0.516055045872,DecisionTreeClassifier
Materiais Basicos,media,0.455088987764,GradientBoostingClassifier
Materiais Basicos,negocios,0.537333147942,GradientBoostingClassifier
Materiais Basicos,quantidade_papeis,0.531238413052,GradientBoostingClassifier
Materiais Basicos,volume_financeiro,0.534691323693,GradientBoostingClassifier
Petroleo. Gas e Biocombustiveis,media,0.464810875798,AdaBoostClassifier
Petroleo. Gas e Biocombustiveis,negocios,0.548182742995,GradientBoostingClassifier
Petroleo. Gas e Biocombustiveis,quantidade_papeis,0.535420327384,GradientBoostingClassifier
Petroleo. Gas e Biocombustiveis,volume_financeiro,0.535189124202,GradientBoostingClassifier
Telecomunicacoes,media,0.47639696231,GradientBoostingClassifier
Telecomunicacoes,negocios,0.514508719295,GradientBoostingClassifier
Telecomunicacoes,quantidade_papeis,0.519969998125,GradientBoostingClassifier
Telecomunicacoes,volume_financeiro,0.521282580161,GradientBoostingClassifier
Utilidade Publica,media,0.445214689789,AdaBoostClassifier
Utilidade Publica,negocios,0.52306871928,GradientBoostingClassifier
Utilidade Publica,quantidade_papeis,0.52279050357,GradientBoostingClassifier
Utilidade Publica,volume_financeiro,0.521005286098,GradientBoostingClassifier
