Setor,Coluna,Media,Tecnica
Bens Industriais,media,0.410825875331,AdaBoostClassifier
Bens Industriais,negocios,0.519663376651,AdaBoostClassifier
Bens Industriais,quantidade_papeis,0.529218225532,GradientBoostingClassifier
Bens Industriais,volume_financeiro,0.521250772384,RandomForestClassifier
Construcao e Transporte,media,0.428637737175,GradientBoostingClassifier
Construcao e Transporte,negocios,0.520104025376,AdaBoostClassifier
Construcao e Transporte,quantidade_papeis,0.510187179952,GradientBoostingClassifier
Construcao e Transporte,volume_financeiro,0.516663479193,RandomForestClassifier
Consumo Ciclico,media,0.478400228596,GradientBoostingClassifier
Consumo Ciclico,negocios,0.520761128545,ExtraTreesClassifier
Consumo Ciclico,quantidade_papeis,0.519862256554,RandomForestClassifier
Consumo Ciclico,volume_financeiro,0.526159479118,AdaBoostClassifier
Consumo nao Ciclico,media,0.465827046557,RandomForestClassifier
Consumo nao Ciclico,negocios,0.525924163832,DecisionTreeClassifier
Consumo nao Ciclico,quantidade_papeis,0.521283264359,ExtraTreesClassifier
Consumo nao Ciclico,volume_financeiro,0.527049052825,AdaBoostClassifier
Financeiro e Outros,media,0.461990813402,RandomForestClassifier
Financeiro e Outros,negocios,0.526984475088,GradientBoostingClassifier
Financeiro e Outros,quantidade_papeis,0.529468337884,RandomForestClassifier
Financeiro e Outros,volume_financeiro,0.527543779412,GradientBoostingClassifier
Materiais Basicos,media,0.449821347136,ExtraTreesClassifier
Materiais Basicos,negocios,0.526884442701,DecisionTreeClassifier
Materiais Basicos,quantidade_papeis,0.542110576858,AdaBoostClassifier
Materiais Basicos,volume_financeiro,0.536375463161,GradientBoostingClassifier
Petroleo. Gas e Biocombustiveis,media,0.46000485055,RandomForestClassifier
Petroleo. Gas e Biocombustiveis,negocios,0.538998057912,RandomForestClassifier
Petroleo. Gas e Biocombustiveis,quantidade_papeis,0.533088787908,RandomForestClassifier
Petroleo. Gas e Biocombustiveis,volume_financeiro,0.535644455849,RandomForestClassifier
Telecomunicacoes,media,0.48066714874,GradientBoostingClassifier
Telecomunicacoes,negocios,0.513544467974,RandomForestClassifier
Telecomunicacoes,quantidade_papeis,0.516821345314,GradientBoostingClassifier
Telecomunicacoes,volume_financeiro,0.516481324183,GradientBoostingClassifier
Utilidade Publica,media,0.438438234691,AdaBoostClassifier
Utilidade Publica,negocios,0.51976316649,ExtraTreesClassifier
Utilidade Publica,quantidade_papeis,0.521204634431,ExtraTreesClassifier
Utilidade Publica,volume_financeiro,0.522978502809,AdaBoostClassifier
