Data,preco,variacao,quantidade,classes
12/06/2015,53347.53,"-0,64",2453109.0,-
11/06/2015,53688.51,"-0,35",3189181.0,=
10/06/2015,53876.44,"2,01",3698521.0,+
09/06/2015,52815.99,"0,01",3791772.0,=
08/06/2015,52809.63,"-0,31",2662367.0,=
05/06/2015,52973.37,"-1,03",2813461.0,-
03/06/2015,53522.9,"-1,32",3420098.0,-
02/06/2015,54236.43,"2,27",3583478.0,+
01/06/2015,53031.31,"0,51",2758061.0,+
29/05/2015,52760.47,"-2,25",5725076.0,-
28/05/2015,53976.27,"-0,48",3004645.0,=
27/05/2015,54236.25,"1,13",3583124.0,+
26/05/2015,53629.78,"-1,79",3426957.0,-
25/05/2015,54609.25,"0,43",1654206.0,=
22/05/2015,54377.29,"-1,33",3803178.0,-
21/05/2015,55112.05,"0,38",3405913.0,=
20/05/2015,54901.02,"-1,08",3380056.0,-
19/05/2015,55498.82,"-1,26",3322746.0,-
18/05/2015,56204.23,"-1,82",3895263.0,-
15/05/2015,57248.63,"1,04",2983928.0,+
14/05/2015,56656.57,"0,5",3309088.0,=
13/05/2015,56372.04,"-0,74",3166747.0,-
12/05/2015,56792.05,"-0,71",3183086.0,-
11/05/2015,57197.1,"0,08",3057993.0,=
08/05/2015,57149.33,"0,4",3410939.0,=
07/05/2015,56921.39,"-0,32",3065102.0,=
06/05/2015,57103.14,"-1,63",4598417.0,-
05/05/2015,58051.61,"1,22",3903794.0,+
04/05/2015,57353.98,"2,0",3492590.0,+
30/04/2015,56229.38,"1,63",4947523.0,+
29/04/2015,55325.29,"-0,87",3888356.0,-
28/04/2015,55812.03,"0,5",4082582.0,=
27/04/2015,55534.5,"-1,87",3854258.0,-
24/04/2015,56594.22,"1,63",4982038.0,+
23/04/2015,55684.85,"1,95",5535066.0,+
22/04/2015,54617.36,"1,59",3700600.0,+
20/04/2015,53761.27,"-0,36",2688021.0,=
17/04/2015,53954.79,"-1,32",3537233.0,-
16/04/2015,54674.21,"-0,45",4132996.0,=
15/04/2015,54918.74,"1,74",4069591.0,+
14/04/2015,53981.92,"-0,48",3747086.0,=
13/04/2015,54239.77,"0,05",3660322.0,=
10/04/2015,54214.11,"0,76",3682967.0,+
09/04/2015,53802.66,"0,26",4338285.0,=
08/04/2015,53661.11,"-0,13",4780429.0,=
07/04/2015,53729.16,"-0,02",3487120.0,=
06/04/2015,53737.26,"1,16",3322148.0,+
02/04/2015,53123.02,"1,53",4266455.0,+
01/04/2015,52321.76,"2,29",4411535.0,+
31/03/2015,51150.16,"-0,18",3511300.0,=
30/03/2015,51243.45,"2,29",2798452.0,+
27/03/2015,50094.66,"-0,96",3927650.0,-
26/03/2015,50579.85,"-2,47",3638500.0,-
25/03/2015,51858.3,"0,68",4774634.0,+
24/03/2015,51506.07,"-0,78",3436456.0,-
23/03/2015,51908.46,"-0,11",3397488.0,=
20/03/2015,51966.58,"1,99",4916763.0,+
19/03/2015,50953.53,"-1,11",3263564.0,-
18/03/2015,51526.19,"2,47",4458894.0,+
17/03/2015,50285.12,"2,94",4013882.0,+
16/03/2015,48848.21,"0,52",3155437.0,+
13/03/2015,48595.81,"-0,58",4475599.0,-
12/03/2015,48880.4,"-0,05",3833169.0,=
11/03/2015,48905.58,"1,27",3839695.0,+
10/03/2015,48293.4,"-1,8",4434294.0,-
09/03/2015,49181.01,"-1,6",3299116.0,-
06/03/2015,49981.19,"-0,76",2787839.0,-
05/03/2015,50365.2,"-0,2",2732467.0,=
04/03/2015,50468.05,"-1,63",3654687.0,-
03/03/2015,51304.1,"0,56",2746169.0,+
02/03/2015,51020.81,"-1,09",2793671.0,-
27/02/2015,51583.09,"-0,34",4177311.0,=
26/02/2015,51760.54,"-0,1",3238977.0,=
25/02/2015,51811.02,"-0,12",3477249.0,=
24/02/2015,51874.17,"1,16",3004176.0,+
23/02/2015,51280.64,"0,08",2824504.0,=
20/02/2015,51237.7,"-0,11",2208689.0,=
19/02/2015,51294.03,"0,03",2485146.0,=
18/02/2015,51280.36,"1,27",2940688.0,+
13/02/2015,50635.92,"2,23",3888107.0,+
12/02/2015,49532.72,"2,68",3828520.0,+
11/02/2015,48239.67,"-0,56",4307622.0,-
10/02/2015,48510.28,"-1,77",3796049.0,-
09/02/2015,49382.58,"1,21",3658907.0,+
06/02/2015,48792.27,"-0,9",4591440.0,-
05/02/2015,49233.85,"-0,14",4003968.0,=
04/02/2015,49301.05,"0,69",4811275.0,+
03/02/2015,48963.66,"2,76",4819816.0,+
02/02/2015,47650.73,"1,58",3247780.0,+
30/01/2015,46907.68,"-1,79",4846621.0,-
29/01/2015,47762.24,"0,14",4405476.0,=
28/01/2015,47694.54,"-1,85",4241414.0,-
27/01/2015,48591.23,"0,03",3890909.0,=
26/01/2015,48576.55,"-0,41",2774186.0,=
23/01/2015,48775.3,"-1,35",3081606.0,-
22/01/2015,49442.62,"0,44",4952273.0,=
21/01/2015,49224.08,"2,81",3561430.0,+
20/01/2015,47876.66,"0,25",2899144.0,=
19/01/2015,47758.01,"-2,57",2096017.0,-
16/01/2015,49016.52,"2,06",3344912.0,+
15/01/2015,48026.31,"0,8",4463625.0,+
14/01/2015,47645.87,"-0,82",3697182.0,-
13/01/2015,48041.67,"-0,2",3881645.0,=
12/01/2015,48139.74,"-1,43",3246063.0,-
09/01/2015,48840.25,"-2,21",2999244.0,-
08/01/2015,49943.3,"0,97",3621862.0,+
07/01/2015,49462.91,"3,05",4408794.0,+
06/01/2015,48000.92,"1,02",4559276.0,+
05/01/2015,47516.82,"-2,05",3866056.0,-
02/01/2015,48512.22,"-2,99",2882090.0,-
30/12/2014,50007.41,"-1,16",2925304.0,-
29/12/2014,50593.82,"0,9",1852527.0,+
26/12/2014,50144.63,"-1,46",1911144.0,-
23/12/2014,50889.81,"1,53",2668328.0,+
22/12/2014,50120.86,"0,95",2675205.0,+
19/12/2014,49650.98,"2,38",3620415.0,+
18/12/2014,48495.7,"-0,45",4240484.0,=
17/12/2014,48713.64,"3,63",6209492.0,+
16/12/2014,47007.51,"-0,02",5339881.0,=
15/12/2014,47018.68,"-2,05",4685720.0,-
12/12/2014,48001.98,"-3,73",3756728.0,-
11/12/2014,49861.81,"0,63",3828879.0,+
10/12/2014,49548.08,"-1,29",3168907.0,-
09/12/2014,50193.47,"-0,16",3852878.0,=
08/12/2014,50274.07,"-3,31",3302589.0,-
05/12/2014,51992.89,"1,1",2530145.0,+
04/12/2014,51426.87,"-1,71",2913305.0,-
03/12/2014,52320.48,"1,37",2724607.0,+
02/12/2014,51612.47,"-1,27",3296415.0,-
01/12/2014,52276.58,"-4,47",4312809.0,-
28/11/2014,54724.0,"0,0",2637724.0,=
27/11/2014,54721.32,"-0,68",2292717.0,-
26/11/2014,55098.47,"-0,83",3033293.0,-
25/11/2014,55560.81,"0,28",5033206.0,=
24/11/2014,55406.91,"-1,21",4588699.0,-
21/11/2014,56084.04,"5,02",6026202.0,+
19/11/2014,53402.81,"2,58",4251304.0,+
18/11/2014,52061.86,"1,57",3639741.0,+
17/11/2014,51256.99,"-1,0",2824585.0,-
14/11/2014,51772.4,"-0,14",3789284.0,=
13/11/2014,51846.03,"-2,14",3032941.0,-
12/11/2014,52978.89,"0,96",3198594.0,+
11/11/2014,52474.27,"-0,48",2678503.0,=
10/11/2014,52725.38,"-0,93",2973736.0,-
07/11/2014,53222.85,"1,11",3592633.0,+
06/11/2014,52637.06,"-1,98",3692537.0,-
05/11/2014,53698.42,"-1,26",2901570.0,-
04/11/2014,54383.59,"0,81",3529761.0,+
03/11/2014,53947.21,"-1,25",3665198.0,-
31/10/2014,54628.6,"4,38",5348249.0,+
30/10/2014,52336.83,"2,52",4299676.0,+
29/10/2014,51049.32,"-2,45",4915304.0,-
28/10/2014,52330.03,"3,62",5761341.0,+
27/10/2014,50503.66,"-2,77",7999298.0,-
24/10/2014,51940.73,"2,42",5852055.0,+
23/10/2014,50713.26,"-3,24",6346135.0,-
22/10/2014,52411.03,"-0,04",3755447.0,=
21/10/2014,52432.43,"-3,44",6577961.0,-
20/10/2014,54302.57,"-2,55",3868320.0,-
17/10/2014,55723.79,"2,63",4406308.0,+
16/10/2014,54298.33,"-3,27",5427807.0,-
15/10/2014,56135.27,"-3,24",5671150.0,-
14/10/2014,58015.46,"0,1",3904652.0,=
