Data,DiadaSemana,Mes,Dia,Ano,Jornal,qtNoticias,qtComentarios,qtTweets,qtFacebook,qtLinkedIn,qtGooglePlus,qtTotalEngajamento,qtPos,qtNeg,qtNeu,variacao
2005-06-16 00:00:00,4,5,16,2005,0,0,0,0,0,0,0,0,0,0,0,"1,06"
2005-06-16 00:00:00,4,5,16,2005,1,0,0,0,0,0,0,0,0,0,0,"1,06"
2005-06-16 00:00:00,4,5,16,2005,2,11,0,0,0,0,0,0,11,0,0,"1,06"
2005-06-17 00:00:00,5,5,17,2005,0,0,0,0,0,0,0,0,0,0,0,"1,33"
2005-06-17 00:00:00,5,5,17,2005,1,0,0,0,0,0,0,0,0,0,0,"1,33"
2005-06-17 00:00:00,5,5,17,2005,2,11,0,0,0,0,0,0,10,0,1,"1,33"
2005-06-20 00:00:00,1,5,20,2005,0,0,0,0,0,0,0,0,0,0,0,"-0,18"
2005-06-20 00:00:00,1,5,20,2005,1,0,0,0,0,0,0,0,0,0,0,"-0,18"
2005-06-20 00:00:00,1,5,20,2005,2,12,0,0,0,0,0,0,9,2,1,"-0,18"
2005-06-21 00:00:00,2,5,21,2005,0,0,0,0,0,0,0,0,0,0,0,"-1,24"
2005-06-21 00:00:00,2,5,21,2005,1,0,0,0,0,0,0,0,0,0,0,"-1,24"
2005-06-21 00:00:00,2,5,21,2005,2,4,0,0,0,0,0,0,2,1,1,"-1,24"
2005-06-22 00:00:00,3,5,22,2005,0,0,0,0,0,0,0,0,0,0,0,"-0,17"
2005-06-22 00:00:00,3,5,22,2005,1,0,0,0,0,0,0,0,0,0,0,"-0,17"
2005-06-22 00:00:00,3,5,22,2005,2,13,0,0,0,0,0,0,8,4,1,"-0,17"
2005-06-23 00:00:00,4,5,23,2005,0,0,0,0,0,0,0,0,0,0,0,"-3,36"
2005-06-23 00:00:00,4,5,23,2005,1,0,0,0,0,0,0,0,0,0,0,"-3,36"
2005-06-23 00:00:00,4,5,23,2005,2,17,0,0,0,0,0,0,11,2,4,"-3,36"
2005-06-24 00:00:00,5,5,24,2005,0,0,0,0,0,0,0,0,0,0,0,"0,41"
2005-06-24 00:00:00,5,5,24,2005,1,0,0,0,0,0,0,0,0,0,0,"0,41"
2005-06-24 00:00:00,5,5,24,2005,2,13,0,0,2,0,0,2,7,4,2,"0,41"
2005-06-27 00:00:00,1,5,27,2005,0,0,0,0,0,0,0,0,0,0,0,"1,24"
2005-06-27 00:00:00,1,5,27,2005,1,0,0,0,0,0,0,0,0,0,0,"1,24"
2005-06-27 00:00:00,1,5,27,2005,2,13,0,0,2,0,0,2,5,7,1,"1,24"
2005-06-28 00:00:00,2,5,28,2005,0,0,0,0,0,0,0,0,0,0,0,"0,14"
2005-06-28 00:00:00,2,5,28,2005,1,0,0,0,0,0,0,0,0,0,0,"0,14"
2005-06-28 00:00:00,2,5,28,2005,2,14,0,0,0,0,0,0,8,3,3,"0,14"
2005-06-29 00:00:00,3,5,29,2005,0,0,0,0,0,0,0,0,0,0,0,"-0,53"
2005-06-29 00:00:00,3,5,29,2005,1,0,0,0,0,0,0,0,0,0,0,"-0,53"
2005-06-29 00:00:00,3,5,29,2005,2,6,0,0,0,0,0,0,5,0,1,"-0,53"
2005-06-30 00:00:00,4,5,30,2005,0,0,0,0,0,0,0,0,0,0,0,"-0,3"
2005-06-30 00:00:00,4,5,30,2005,1,0,0,0,0,0,0,0,0,0,0,"-0,3"
2005-06-30 00:00:00,4,5,30,2005,2,15,0,0,0,0,0,0,10,1,4,"-0,3"
2005-07-01 00:00:00,5,6,1,2005,0,0,0,0,0,0,0,0,0,0,0,"1,04"
2005-07-01 00:00:00,5,6,1,2005,1,0,0,0,0,0,0,0,0,0,0,"1,04"
2005-07-01 00:00:00,5,6,1,2005,2,3,0,0,0,0,0,0,1,2,0,"1,04"
2005-07-04 00:00:00,1,6,4,2005,0,0,0,0,0,0,0,0,0,0,0,"-1,05"
2005-07-04 00:00:00,1,6,4,2005,1,1,0,0,0,0,0,0,1,0,0,"-1,05"
2005-07-04 00:00:00,1,6,4,2005,2,13,0,0,0,0,0,0,6,5,2,"-1,05"
2005-07-05 00:00:00,2,6,5,2005,0,0,0,0,0,0,0,0,0,0,0,"-1,48"
2005-07-05 00:00:00,2,6,5,2005,1,0,0,0,0,0,0,0,0,0,0,"-1,48"
2005-07-05 00:00:00,2,6,5,2005,2,5,0,0,0,0,0,0,4,1,0,"-1,48"
2005-07-06 00:00:00,3,6,6,2005,0,0,0,0,0,0,0,0,0,0,0,"-0,64"
2005-07-06 00:00:00,3,6,6,2005,1,0,0,0,0,0,0,0,0,0,0,"-0,64"
2005-07-06 00:00:00,3,6,6,2005,2,15,0,0,0,0,0,0,9,5,1,"-0,64"
2005-07-07 00:00:00,4,6,7,2005,0,0,0,0,0,0,0,0,0,0,0,"-0,27"
2005-07-07 00:00:00,4,6,7,2005,1,0,0,0,0,0,0,0,0,0,0,"-0,27"
2005-07-07 00:00:00,4,6,7,2005,2,4,0,0,0,0,0,0,2,1,1,"-0,27"
2005-07-08 00:00:00,5,6,8,2005,0,0,0,0,0,0,0,0,0,0,0,"-0,11"
2005-07-08 00:00:00,5,6,8,2005,1,0,0,0,0,0,0,0,0,0,0,"-0,11"
2005-07-08 00:00:00,5,6,8,2005,2,3,0,0,0,0,0,0,2,1,0,"-0,11"
2005-07-11 00:00:00,1,6,11,2005,0,0,0,0,0,0,0,0,0,0,0,"2,43"
2005-07-11 00:00:00,1,6,11,2005,1,0,0,0,0,0,0,0,0,0,0,"2,43"
2005-07-11 00:00:00,1,6,11,2005,2,1,0,0,0,0,0,0,1,0,0,"2,43"
2005-07-12 00:00:00,2,6,12,2005,0,0,0,0,0,0,0,0,0,0,0,"2,08"
2005-07-12 00:00:00,2,6,12,2005,1,0,0,0,0,0,0,0,0,0,0,"2,08"
2005-07-12 00:00:00,2,6,12,2005,2,11,0,0,0,0,0,0,10,1,0,"2,08"
2005-07-13 00:00:00,3,6,13,2005,0,0,0,0,0,0,0,0,0,0,0,"1,25"
2005-07-13 00:00:00,3,6,13,2005,1,0,0,0,0,0,0,0,0,0,0,"1,25"
2005-07-13 00:00:00,3,6,13,2005,2,7,0,0,0,0,0,0,3,4,0,"1,25"
2005-07-14 00:00:00,4,6,14,2005,0,0,0,0,0,0,0,0,0,0,0,"0,25"
2005-07-14 00:00:00,4,6,14,2005,1,0,0,0,0,0,0,0,0,0,0,"0,25"
2005-07-14 00:00:00,4,6,14,2005,2,18,0,0,0,0,0,0,14,4,0,"0,25"
2005-07-15 00:00:00,5,6,15,2005,0,0,0,0,0,0,0,0,0,0,0,"-2,69"
2005-07-15 00:00:00,5,6,15,2005,1,0,0,0,0,0,0,0,0,0,0,"-2,69"
2005-07-15 00:00:00,5,6,15,2005,2,3,0,0,0,0,0,0,2,1,0,"-2,69"
2005-07-18 00:00:00,1,6,18,2005,0,0,0,0,0,0,0,0,0,0,0,"0,39"
2005-07-18 00:00:00,1,6,18,2005,1,0,0,0,0,0,0,0,0,0,0,"0,39"
2005-07-18 00:00:00,1,6,18,2005,2,16,0,0,0,0,0,0,14,0,2,"0,39"
2005-07-19 00:00:00,2,6,19,2005,0,0,0,0,0,0,0,0,0,0,0,"-0,2"
2005-07-19 00:00:00,2,6,19,2005,1,0,0,0,0,0,0,0,0,0,0,"-0,2"
2005-07-19 00:00:00,2,6,19,2005,2,17,0,0,0,0,0,0,15,2,0,"-0,2"
2005-07-20 00:00:00,3,6,20,2005,0,0,0,0,0,0,0,0,0,0,0,"1,72"
2005-07-20 00:00:00,3,6,20,2005,1,0,0,0,0,0,0,0,0,0,0,"1,72"
2005-07-20 00:00:00,3,6,20,2005,2,11,0,0,0,0,0,0,7,0,4,"1,72"
