mes,jornal,quantidade
JAN,G1,16367
JAN,FOLHASP,8117
JAN,ESTADAO,14499
FEV,G1,15395
FEV,FOLHASP,7850
FEV,ESTADAO,13430
MAR,G1,15530
MAR,FOLHASP,7862
MAR,ESTADAO,15025
ABR,G1,15365
ABR,FOLHASP,7706
ABR,ESTADAO,14986
MAI,G1,16486
MAI,FOLHASP,8918
MAI,ESTADAO,15894
JUN,G1,15723
JUN,FOLHASP,9468
JUN,ESTADAO,13843
JUL,G1,16353
JUL,FOLHASP,11348
JUL,ESTADAO,13409
AGO,G1,17730
AGO,FOLHASP,12125
AGO,ESTADAO,14454
SET,G1,15526
SET,FOLHASP,10725
SET,ESTADAO,14360
OUT,G1,15908
OUT,FOLHASP,10671
OUT,ESTADAO,14378
NOV,G1,12593
NOV,FOLHASP,10299
NOV,ESTADAO,14100
DEZ,G1,12757
DEZ,FOLHASP,8582
DEZ,ESTADAO,13018
