Gabarito	Line	SentiWordNet	SenticNet	Emoticons	Panas-t	Sasa	Happiness Index	Sentistrength	Emolex	NRC Emotion	Opnion Lexicon	Emoticon Distant Supervisor	SO-CAL	Pattern.En	Umigon	AFINN	Opnion Finder	Vader	Sentiment 140	Combined Method
-1	TIM PARTICIPAÇÕES SA, TIM PART S  A, Vivo and Claro ask challenging the 4G auction notice; TIM want change, BRASILIA  Three of the four major national telecom carriers asked on Tuesday challenged or changes in the 700 MHz band auction notice the mobile Internet fourth generation (4G). It is not clear yet whether this will result in delay of the tender scheduled for September 30. The federal government has the money from the sale of licenses in 2014 to form the primary surplus economy made for the payment of interest on public debt. Telefonica Brazil (VIVT4) (operating under the brand Vivo) and Claro want the challenge of the event as TIM Participações (TIMP4) calls for changes in the announcement. The minimum group of six licenses in the auction price is 7 7 billion reais. The notice also provides additional disbursement of grants of up to about 560 million dollars to the winners are companies that already have a license in the frequency of 5 GHz 2 where 4G service is currently provided in Brazil. The winners also will bear an estimated 3 6 billion reais in cost of cleaning the 700 MHz band currently occupied by analogue. The president of Telefonica Brazil Antonio Carlos Valente said on Tuesday that the main challenge the company to auction 4G refers to the fact that the document does not stipulate maximum amounts to be spent by the winners with the cleaning frequency. There is no upper limit to the amount needed Valente told reporters after attending event in Brasilia. Also Tuesday the president of TIM Rodrigo Abreu said the operator asked the government changes in the announcement. According to Abreu the main change advocated by TIM is the reduction of the term today set at 12 months between the analog TV signal shutdown in the range of 700 MHz and the commercialization of 4G services. The course through his press office said it filed a notice of appeal and is awaiting response from the National Telecommunications Agency (Anatel). Sought to Hi I said he did not rule on the matter. The range of 700 MHz object of the auction is to complement the 2 5 GHz auctioned in mid2012 also for the 4G technology. Sought Anatel said that until the publication of this report Telefonica Brazil the Association of MMDS operators in Brazil (Neotec) and NORTV Telecomunicações Ltda asked challenging the 4G auction 	1	1	0	0	0	1	0	-1	0	1	1	-1	1	-1	1	-1	1	-1	1
1	TOTVS SA, TOTVS, What makes Totvs the company's Bovespa dearest by football teams, company has acted positively in business organization and management of 14 Brazilian clubs resources By Rodrigo Tolotti Umpieres  15h02  0708 2014 SAO PAULO  In recent weeks much has been debated about the Fiscal Responsibility Law of Sport that tries to impose control spending to Brazilian football clubs while many teams face problems of very high debt and poor resource management. Even without being involved in this matter Totvs (TOTS3) already has helped football clubs to organize their efforts. There are now 14 teams served by the company including the Cruzeiro (MG) Sport (PE) Botafogo (RJ) and more recently Ponte Preta Athletic Association (SP). In the case of Campinas club before adopting the TOTVS tool few areas were computerized. We faced many difficulties because there were only two systems the accounting and payroll and there was little data integration says Luiz Antonio de Souza Semedo administrative manager of the club and responsible for the project. No new systems Ponte Preta was the control of its management through Excel spreadsheets but shortly after implementing changes were already visible. The integration of HR areas like financial accounting and inventory control brought more agility in processes and improvements in decision making. We believe that over time the gains are even greater Souza concludes. According to Luis Roberto Mulla Director Services and Relationship Totvs Interior Paulista franchise responsible for the design and care club company constantly seeks to specialize in each of the segments in which it operates in order to be even more essential to their customers. The result of this profile Totvs is to have customers like Ponte Preta a centuryold club with structured processes and professionals aware of the benefits of technology to the management of a company getting more quality and consistency in the results he says. 	1	1	0	0	1	1	0	1	-1	1	1	1	1	-1	1	1	1	-1	1
1	TPI  TRIUNFO PARTICIP. E INVEST. SA, TRIUMPH PART, euphoria on the stock exchange 12 shares of Ibovespa rise more than 3%; only 5 fell more than 2%, SAO PAULO  After a negative morning the Ibovespa gained strength on Tuesday afternoon (2) with rumors that Marina Silva (PSB) exceed Dilma Rousseff already in the 1st round in the Ibope survey to be released tomorrow and closed up 1 23% flirting with the region of 62 000 points. The expectation to new research led another strong high of state shares Petrobras and the Bank of Brazil who came to rise more than 6% in intraday infecting other market action  of the 69 stocks that make up the Ibovespa 12 rose more than 3 %. Some papers out of the index also showed a high amazing how Triunfo (TPIS3 R $ 6 27 4 33%) and Smiles (SMLE3 R $ 41 98 4 83%). Steel and auto companies also rose strong in this session after data showing domestic industrial production growth in July: Gerdau and Usiminas CSN rose more than 3% while Marcopolo Iochpe Maxion and Randon extended their gains in recent weeks to almost 20%  about Marcopolo worth remember that the action was included in the Ibovespa portfolio on Monday (1). If not tip only 5 of 69 shares index fell more than 2%. The main highlight was Qualicorp that sank 26 3% after announcement of acquisition of 15% of the share capital of the Administrator Alliance Health Benefits and Consulting GA. The Estacio and Kroton education companies and state Eletrobras closed the list of highest decrease in Ibovespa receding between 2 and 3% 3 2% 	1	1	0	1	0	1	0	1	0	1	1	1	1	-1	1	-1	1	1	1
1	TRACTEBEL ENERGIA SA, TRACTEBEL Brokerage indicates 8 stocks to buy now; check, SAO PAULO  The Lerosa Investments recommended eight stocks this week on his fourth participation in InfoMoney. The brokerage has decided to withdraw the roles of Ambev (ABEV3) and put in place the assets of Embraer (EMBR3). They remained in the brokerage portfolio shares of Cetip (CTIP3) Tractebel (TBLE3) Klabin (KLBN11) Petrobras (PETR4) Sugar Loaf (PCAR4) BRF (BRFS3) and Vale (VALE5). The Lerosa said it also decided to increase the position in Petrobras as the possibility of a presidential modification increases with less government interference in the company has published on its government program besides encouraging the sugarcane sector making it more competitive and consequently less use gasoline and therefore lower dependence on imports of derivative (resulting in less damage to the supply area which is negatively impacting the Company's results). We promote the entry of Embraer exporting company that can benefit from a devaluation scenario addition to the firm orders of disclosures and shopping options of different airlines (backlog ended the first half at US $ 37 3 billion). In addition to company received certification from ANAC (National Civil Aviation Agency) for the Legacy 500 executive jet and expects to receive certification from the FAA and EASA (the US authorities and Europe respectively) in the coming weeks said 	-1	1	0	0	0	-1	0	-1	0	1	1	1	-1	0	1	-1	1	-1	-1
-1	TRANSMISSORA ENERGY ALLIANCE ELECTRIC SA, TAESA, Real estate celebrate Mantega measures; Petrobras rises 15% in 4 trading days, Taesa and Alupar The shares of two companies in the power transmission sector Taesa (TAEE11 £ 22 30 2 19%) and Alupar (ALUP11 £ 18 30 2 52%) closed signs opposite after both open with a strong fall. In this session the Credit Suisse downgraded the recommendation of two actions: to Taesa cutting was neutral to underperform (similar to sale); for Alupar relegation was outperform (similar to purchase) to neutral. 	1	1	0	1	0	1	0	-1	1	1	1	1	-1	1	1	0	1	-1	1
1	Trevisa INVESTMENTS SA, Trevisa Dollar rises 0.52% and close at $ 2.25, SAO PAULO  The dollar closed higher on Wednesday approaching the informal ceiling of 2 25 reais after economic growth of US surprised positively and feed expectations that the Federal Reserve would have room to raise interest rates sooner than expected. The US currency rose 52 percent to 0 2 2 427 Reais in 2610 after hitting 2 reais at full session with a high of 34 percent 1. According to data from the BM  F trading volume was around $ 2 billion. The last time the US currency closed up 2 25 reais was on July 17 when the drop of a Malaysian plane in eastern Ukraine caused widespread aversion to risk but returned to lower levels the very next day. The US GDP helped lead the dollar to two 26 reais, which has not happened for some time. But as always the personal advantage and realize when it comes to these levels, said the superintendent exchange brokerage Intercam Jaime Ferreira for whom currency US should return to around 2 reais in the next 22 days. The US currency has been operating between 2 20:02 25 reais since early April with only brief exceptions in the last two months before the strong performances of the Brazilian Central Bank on the local market. Most experts believes that prices in that range would please the monetary authority as it does not impact inflation or exports. In this session the central bank sold a total daily supply of up to 4000 currency swaps equivalent to selling dollars in the futures market all maturing on February 2, 2015 in a volume equivalent to 198 8 million dollars. They were also offered contracts for June 1, 2015 but none has been sold. The central bank also sold a total offering of up to 7000 swaps for scrolling through agreements that expire in early August. When all the already rolled BC about 70 percent of the total batch corresponding to 9457 billion dollars. Strong economy The Gross Domestic Product (GDP) in the US increased 4 percent in annualized terms in the second quarter compared to estimates of 3 percent. The figure indicates a strong return to growth after the contraction in the first quarter and sustains good performance expectations in the last six months of this year. With the recovery of the economy (the US) taking shape the market begins to prepare for change in monetary policy, said the morning the exchange manager at Treviso brokerage Reginaldo Gallardo. It seems that what is good for the United States is bad for the market, he added. Higher US interest rates tend to attract capital currently invested in other countries. So the dollar also rose against the euro the yen among others. In the last two hours of trading the dollar weakened on the actual getting back below 2 25 reais after the release of the monetary policy decision of the Fed. According to analysts the document did not bring surprises and reinforced the perception that the US central bank It is comfortable with the maintenance of low interest rates. The Fed announced new cutting $ 10 billion in monthly bond purchases to $ 25 billion and improved its assessment of the US economy but reiterated that in no hurry to raise rates. Most market forecasts that the rise in US interest rates should only occur in mid2015 weighed yet this session the dispute for the formation of the Ptax July the next day that tends to bring more volatility to the talks in the local market. The Brazilian Central Bank will on Thursday auction of up to 2 25 billion under repurchase agreements in early 2015 to scroll the line matures on August 1. According to the BC data this is exactly the same amount that remains to be repurchased other auctions ever made. In the last line auction in June the monetary authority sold no contract offering up to 3 5 billion. 	1	1	1	1	0	1	0	1	0	1	1	1	1	-1	1	1	1	-1	1
1	TRIANGLE OF MOTORWAY SOL SA, TRIANGULOSOL Sun Triangle may cause flow of migration on the stock exchange says XP, SAO PAULO  After being released by Valor Econômico on Wednesday (22) that the Sun Triangle dealership  Italian group arm Atlantia in the country  has filed a public company registration request with the CVM on Tuesday (21) analysts believe that this may generate some purse flow of migration. According to the publication the company is preparing an offer of debentures  private fixed income  but no company executive was found to clarify the matter. The coming entry of a player for the road concession sector ends up attracting the attention of investors and may even generate a flow of migration on the stock exchange. It is too early yet to say this because the company has a long way to go to effectively perform offer assess analysts XP Investimentos Rossano Oltramari and William Castro Alves. In the year the shares of OHL (OHLB3) were up 57% to 87 CCR (CCRO3) 43 34% and the Ecorodovias (ECOR3) 17 54 4% from advance 63% of the Ibovespa until closing on Wednesday (22 ). The broker keeps recommendation attractive for the three actions. Ecorodovias 04  img Air Road 02 They emphasize, however, that industry players hold a significantly higher administered mesh compared to the potential new entrant. While the CCR and OHL have a mesh concession respectively 2 4:03 2000 km by South and Southeast debutante company has only 422 kilometers of mesh granted throughout the state of São Paulo. The company's concessions are divided into three sections which are: the Washington Luis highway between the towns of San Carlos and Mirassol Highway Brigadeiro Faria Lima Drinkers of the Matão and Highway Carlos Tonani between Borborema and Sertaozinho. The company manages since 1998 roads of São Paulo 	1	1	1	0	0	1	0	1	-1	0	1	1	1	-1	1	-1	1	-1	1
1	TRISUL SA, TRISUL MRV BR Malls and Trisul disclose balance sheets; Suzano has damage down the dollar, MRV saw net income back while Fleury sees profit turn into a loss of R $ 800 thousand Per Lara Rizério  14:20  03142014 SAO PAULO  Several companies released results from last night's quinta fair and the morning of date. Featured is MRV Engenharia (MRVE3) which saw its net income back 37 2% from R $ 115 million in the fourth quarter of 2012 to R $ 72 million in the last three months of last year. Onyear fall was less than 19% 8 with the company ending 2013 with R $ 423 million profit. Meanwhile net sales had a slight increase of 1 4% from R $ 936 million to R $ 950 million in one year. In the period 2013 to MRV reported revenues of 87 billion high 3 1 8% compared to the $ 3 80 million the previous year. Already Ebitda fell 18 9% in the fourth quarter resulting in R $ 133 million between October and December. Despite the numbers of falls the company said the reduction of its leverage to 30 4% in the relationship between net debt and equity. In addition to MRV had record sales you hire in a year, reaching $ 5 billion 09 while 12 583 units completed in the fourth quarter represents the secondlargest volume in company history. MRV's management has proposed the distribution of 35% of profits in dividends and an additional 10%. The total proposed amount was R $ 141 million R $ 0297 per share. Also it is scheduled for March 26 an assembly to discuss the new structure of the board with two copresidents. Suzano has damage down the dollar The paper and pulp manufacturer Suzano (SUZB5) posted a loss in the fourth quarter down by the appreciation of the dollar against the real although it has seen the biggest sales volume and prices raise its cash flow. The company had a net loss of R $ 58 million in the fourth quarter reversing profit of R $ 34 million reais a year earlier. Yet the figure was better than expected. The average of three estimates obtained by Reuters indicated a loss of R $ 103 million in the period 7. EBITDA totaled R $ 520 million in the last quarter of 2013 increase of 28 7% over a year earlier. According to Suzano the increase was caused by higher volume of pulp and paper sold allied to higher paper prices and reduced general and administrative expenses. Net sales grew by 12 9% in the same comparison basis totaling R $ 1 66 billion. Suzano's net debt totaled R $ 9,187 billion at the end of last year an increase of 44% over that recorded in late 2012 with leverage reaching 4 9 times Ebitda. In the fourth quarter sales of paper and pulp Suzano had a 5% increase over the same 2012 step while production fell 6% in the period driven by the fall in market pulp which fell 9 3%. BR Malls has profit above projections The manager of shopping malls BR Malls (BRML3) presented quarterly adjusted net income above the projections of analysts and driven by noncash gains. Between October and December, adjusted net income was R $ 146 million high 6 30 5% year on year and on average expectation of analysts of R $ 111 million. According to BR Malls had an impact on the outcome of the exchange rate that focused on the principal of perpetual debt. Net financial expense related to exchange variation of R $ 37 9 million (compared to R $ 2 1 million a year earlier). The company also reduced by 20 8% expenses, general and administrative sales ended the quarter at R $ 41 8 million. The company recorded net income 11 9% higher than R $ 375 million 9. Analysts had expected advance of a digit of R $ 360 million 4. The company announced in early February to 12 7% increase in total sales at its malls in the period and up 8% in same store sales (open for more than 12 months. Adjusted EBITDA grew 21 4% on the same comparison base R $ 323 million 8. Even with the economy evolving marginally over the past few quarters consistently present solid operational and financial indicators said BR Malls in its results report. For the company in 2014 will remain challenging for the Brazilian economy. This year will be inaugurated Shopping Vila Velha in Espirito Santo largest company in the history of design with over 68 thousand square meters of gross leasable area (GLA). Also will open three expansions in 2014 in Recife (PE) Piracicaba (SP) and São Luís (MA). Fleury sees profit turn into loss of R $ 800,000 Among the highlights is the result of Fleury (FLRY3) which saw its profit of R $ 16 5 million in the fourth quarter of 2012 become a loss of R $ 800,000. At the annual company ended 2013 with income of R $ 61 million 1 down 42 6% compared to R $ 106 6 million last year. Despite the decline in profit net income of the company has evolved over the past year from R $ 417 million in the last quarter of 2012 to R $ 441 million 3 in the last three months of last year. The annual accumulated the increase was 10% to R $ 1 68 billion. Meanwhile Ebitda (earnings before interest taxes depreciation and amortization) decreased 38 7% in the fourth quarter and closed at R $ 45 million 2. Importantly, the net income box that excludes the impact of deferred income tax of Fleury was R $ 2 6 million in the fourth quarter that is only in income tax the company had an impact of R $ 3 4 million. In the year net income cash totaled R $ 111 million value below R $ 154 million 8, 2012. Trisul: Profit rises 12 3% in 2013 Trisul (TRIS3) saw its net income rise 12 6% in 2013 with gains attributed to equity holders reaching R $ 30 7 million against R $ 27 3 million in the previous year. In the last three months of the year net profit fell 30% to R $ 8 22 million. Meanwhile the net Revenue fell 22 7% in the year reaching R $ 520 million 1. Since the cost of sales were lower than 25 3% to R $ 379 7 million in 2013 while expenses of R $ 65 7 million decreased 6%. Renar has income of R $ 4 15 million Renar Apples (RNAR3) recorded net income of R $ 4 15 million in the fourth quarter reversing the net loss of R $ 1 88 million a year earlier. In the year the company also reversed the net loss of R $ 23 million 03 2012 to income of R $ 7 million in 2013. 76 According to Renar the positive result is due to the focus on cost control and increased profitability events not recurrent. The Ebitda reached R $ 3 3 million in 2013 reversing the negative result of 2012 demonstrating a trend of strong recovery in the second half of the year. In 4Q13 EBITDA recorded was R $ 3 8 million. Net revenues totaled R $ 44 million 2 in 2013 a decrease of 10% over the previous year while the quarter the increase was 24%, totaling R $ 15 million 41. San Carlos: net profit rises 13% in the year São Carlos ( # # mce_temp_url) recorded net income of R $ 249 million in 2013 representing an increase of 13% over the previous year. In the last three months of the year net income totaled R $ 154 4 million an increase of 288% compared to R $ 39 8 million in the same period of 2012. The company's adjusted Ebitda rose 13% in the quarter to R $ 58 million 1. In the last quarter the company also recorded gross revenue from leases of R $ 74 million increase of 5% compared to the same period 2012. As for the EBITDA and FFO margins reached 83 respectively 4% and 46 9%. Net income was R $ 154 million with an increase of 288%. Despite the challenging market when the year 2013 was marked by significant achievements for the company, said the president of São Carlos Empreendimentos Felipe Garcia. This year we held great deals on purchase and sale of assets reduced the vacancy of the portfolio present value of assets and deliver EBITDA growth of revenue and net income. 	1	1	0	1	0	1	0	-1	0	-1	1	1	1	-1	1	-1	1	-1	1
1	Tupy SA, Tupy, Tupy: the forgotten to golden share of five analysts in just one week, SAO PAULO  Tupy (TUPY3) a leading manufacturer of cast iron blocks and heads turned the key to exit the anonymity in Bovespa in November. Early last month the company completed its initial public offering of 516 million common shares and entered the Novo Mercado highest level of corporate governance in the Brazilian market. Stroke of the company whose stock recorded until midOctober average daily volume of about £ 400,000 took a leap to the range of R $ 6 million in month later. Only on November 1 reached a volume of R $ 15 million 31  the second largest in its history in the bag. The offer as its spawning investor relations and strategic planning Thiago Struminski said in an interview with InfoMoney was to capture objectives in order to expand the operational improvement plan of the company in addition to attracting the interest of the market to provide liquidity to the role before I was very concentrated in the hands of a few shareholders and had low number of trades on the stock exchange. It seems that it worked. In just one week BB Investimentos BTG Pactual and Itaú BBA Citi Corretora began coverage of the shares  all with equivalent purchase recommendation. The Plural Brazil that raised the recommendation for overweight (above average performance) and Fator Corretora standing with his recommendation under review were the ones who already had coverage of the paper. Tupy had all the favorable fundamentals in stock both the operational and the company as a whole. It is currently the only player publicly traded working with blocks and cast iron heads. The only problem was its extremely low liquidity she explained the analyst Mario Bernardes Junior BB. So these operations were crucial: they took the company in a situation of very low liquidity and concentrate capital away what the coverage of some brokers to make it a possibility in the recommendations portfolios. What to expect from Tupy? With operations in Brazil and Mexico Tupy is the world's largest manufacturer of cast iron blocks and heads (mainly diesel)  has about 43 9% market share in the Americas. Currently provides for companies like Audi Caterpillar Ford Chrysler among other leaders in the automotive industry. In the last three years the company has had strong revenue growth from R $ 1,871 billion in 2010 to R $ 2,671 billion in 2012. The expansion was mainly due to organic growth and the acquisition of two engine blocks and cylinder heads manufacturers cast iron in Mexico in an almost R $ 1 billion operation. According Struminski the company's strategy now involves the continuation of this process of consolidation and some cost reduction projects in Brazil and Mexico. With all these projects in play and good prospects for the company BB Bernardes Junior analyst points out that the action is currently cheap. From early November here the Tupy's shares rose more than 10% but in the year still recorded a 15% drop. Projections of brokers and banks vary between R $ 24 and R $ 31 well below the current price that is around R $ 20 ie there is still room for paper floor reinforced Struminski. Analysts see noting that the company's operations in the North American market through its companies in Mexico ranks as favorable point because of the US recovery. There are also favorable expectations on incentives and spending in Brazil with lowcost financing investments in infrastructure and a robust revenue for the agricultural sector benefiting the production of heavy vehicles and automakers increasing capacity in Latin America in search of hand labor cheaper (Mexico) and government incentives (Brazil) benefiting auto parts from local suppliers. 	1	1	0	1	0	1	-1	1	0	1	1	1	1	-1	1	-1	1	1	1
1	ULTRAPAR HOLDINGS SA, Ultrapar, Ultrapar purchase owner of Extrafarma and enters the retail pharmaceutical sector, SAO PAULO  Ultrapar (UGPA3) announced on Monday (30) bought the Imifarma one of the 10 largest drugstore chains in Brazil owns brand Extrafarma for a total of R $ 1 billion through the issuance of 16 million shares UGPA3  the equivalent of 2 9% of total company's shares outstanding in the market. The combination of the two companies allows Ultrapar access to Brazilian pharmaceutical retail market sector in which the company sees great potential for growth. In view of the company aging population increasing income greater access to medicines and the growing demand for health and beauty products are the main foundations of this positive scenario. The Extrafarma will become the third business distribution and specialty retail Ultrapar's resilience with growth characteristics and differentiation in services and convenience for consumers, said Ultrapar in a statement filed with CVM (Brazilian Securities Commission). 	1	1	0	0	0	1	1	1	0	1	1	1	1	-1	1	0	1	1	1
