Setor,Tecnico,Fundamentalista,tau,p-valor
Bens Industriais,media,qt,-0.738155928286,0.0
Bens Industriais,media,mQtCom,-0.512483908437,0.0
Bens Industriais,media,meQtCom,-0.467387509213,0.0
Bens Industriais,media,dpQtCom,-0.771182079745,0.0
Bens Industriais,media,vQtCom,-0.771182079032,0.0
Bens Industriais,media,sQtCom,-0.512467464037,0.0
Bens Industriais,media,mQtTw,-0.616565103739,0.0
Bens Industriais,media,meQtTw,-0.441149344316,0.0
Bens Industriais,media,dpQtTw,-0.863442571184,0.0
Bens Industriais,media,vQtTw,-0.863443336253,0.0
Bens Industriais,media,sQtTw,-0.615718472715,0.0
Bens Industriais,media,mQtFb,-0.567728521517,0.0
Bens Industriais,media,meQtFb,-0.428185484452,0.0
Bens Industriais,media,dpQtFb,-0.839364138665,0.0
Bens Industriais,media,vQtFb,-0.839364468559,0.0
Bens Industriais,media,sQtFb,-0.567903738002,0.0
Bens Industriais,media,mQtLk,-0.521366382344,0.0
Bens Industriais,media,meQtLk,-0.458929979425,0.0
Bens Industriais,media,dpQtLk,-0.796894691662,0.0
Bens Industriais,media,vQtLk,-0.796894673699,0.0
Bens Industriais,media,sQtLk,-0.521116542756,0.0
Bens Industriais,media,mQtGp,-0.463980813511,0.0
Bens Industriais,media,meQtGp,-0.465114060925,0.0
Bens Industriais,media,dpQtGp,-0.735952959779,0.0
Bens Industriais,media,vQtGp,-0.735952961513,0.0
Bens Industriais,media,sQtGp,-0.463979997523,0.0
Bens Industriais,media,mPol,-0.786591053324,0.0
Bens Industriais,media,mePol,-0.704658186813,0.0
Bens Industriais,media,dpPol,-0.887758482735,0.0
Bens Industriais,media,vPol,-0.887750826373,0.0
Bens Industriais,media,sPol,-0.754473608449,0.0
Bens Industriais,negocios,qt,-0.640023801108,0.0
Bens Industriais,negocios,mQtCom,-0.29440820953,0.0
Bens Industriais,negocios,meQtCom,-0.258817080436,0.0
Bens Industriais,negocios,dpQtCom,-0.853892654268,0.0
Bens Industriais,negocios,vQtCom,-0.853892645178,0.0
Bens Industriais,negocios,sQtCom,-0.294403525351,0.0
Bens Industriais,negocios,mQtTw,-0.387983501257,0.0
Bens Industriais,negocios,meQtTw,-0.264249320879,0.0
Bens Industriais,negocios,dpQtTw,-0.907572747491,0.0
Bens Industriais,negocios,vQtTw,-0.907572665855,0.0
Bens Industriais,negocios,sQtTw,-0.387340366933,0.0
Bens Industriais,negocios,mQtFb,-0.358989499876,0.0
Bens Industriais,negocios,meQtFb,-0.255352942736,0.0
Bens Industriais,negocios,dpQtFb,-0.898000039929,0.0
Bens Industriais,negocios,vQtFb,-0.897999976552,0.0
Bens Industriais,negocios,sQtFb,-0.35835226814,0.0
Bens Industriais,negocios,mQtLk,-0.300068817672,0.0
Bens Industriais,negocios,meQtLk,-0.254727017654,0.0
Bens Industriais,negocios,dpQtLk,-0.86499399115,0.0
Bens Industriais,negocios,vQtLk,-0.864993965693,0.0
Bens Industriais,negocios,sQtLk,-0.299742544798,0.0
Bens Industriais,negocios,mQtGp,-0.259016829932,0.0
Bens Industriais,negocios,meQtGp,-0.258724349042,0.0
Bens Industriais,negocios,dpQtGp,-0.838215341142,0.0
Bens Industriais,negocios,vQtGp,-0.838215347409,0.0
Bens Industriais,negocios,sQtGp,-0.259016551904,0.0
Bens Industriais,negocios,mPol,-0.679082963596,0.0
Bens Industriais,negocios,mePol,-0.547505070457,0.0
Bens Industriais,negocios,dpPol,-0.935402484409,0.0
Bens Industriais,negocios,vPol,-0.935253083854,0.0
Bens Industriais,negocios,sPol,-0.653141314718,0.0
Bens Industriais,quantidade_papeis,qt,-0.710751507407,0.0
Bens Industriais,quantidade_papeis,mQtCom,-0.254039566775,0.0
Bens Industriais,quantidade_papeis,meQtCom,-0.194138565628,0.0
Bens Industriais,quantidade_papeis,dpQtCom,-0.754241095363,0.0
Bens Industriais,quantidade_papeis,vQtCom,-0.754241091867,0.0
Bens Industriais,quantidade_papeis,sQtCom,-0.254063141131,0.0
Bens Industriais,quantidade_papeis,mQtTw,-0.420044312654,0.0
