Setor,Tecnico,Fundamentalista,tau,p-valor
Bens Industriais,media,qt,0.0678271278099,1.50555973993e-05
Bens Industriais,media,mQtCom,0.231764231986,1.74364240854e-49
Bens Industriais,media,meQtCom,-0.0524214553981,0.000823189731956
Bens Industriais,media,dpQtCom,0.210061178405,5.77088829342e-41
Bens Industriais,media,vQtCom,0.2100290849,5.93236356607e-41
Bens Industriais,media,sQtCom,0.202594390379,3.16849844743e-38
Bens Industriais,media,mQtTw,0.598421810183,0.0
Bens Industriais,media,meQtTw,0.47087129099,2.53173688032e-198
Bens Industriais,media,dpQtTw,0.552258695254,5.20254152863e-272
Bens Industriais,media,vQtTw,0.552354502054,4.19350881644e-272
Bens Industriais,media,sQtTw,0.512018693455,4.08812083052e-234
Bens Industriais,media,mQtFb,0.587351049775,2.15442034814e-307
Bens Industriais,media,meQtFb,0.457335317148,3.34137703504e-187
Bens Industriais,media,dpQtFb,0.563717173251,2.52411845208e-283
Bens Industriais,media,vQtFb,0.563837887152,1.91285471548e-283
Bens Industriais,media,sQtFb,0.573648529853,2.55989193295e-293
Bens Industriais,media,mQtLk,0.546551694668,1.83980044644e-266
Bens Industriais,media,meQtLk,-0.018112715171,0.247793474355
Bens Industriais,media,dpQtLk,0.525077590256,4.23719322015e-246
Bens Industriais,media,vQtLk,0.52497065015,5.32651386945e-246
Bens Industriais,media,sQtLk,0.490211553088,8.97150468201e-215
Bens Industriais,media,mQtGp,0.531631351389,3.15505356224e-252
Bens Industriais,media,meQtGp,-0.0524214553981,0.000823189731956
Bens Industriais,media,dpQtGp,0.52742701476,2.74778186763e-248
Bens Industriais,media,vQtGp,0.523161823368,2.53557894138e-244
Bens Industriais,media,sQtGp,0.52301420884,3.47320332726e-244
Bens Industriais,media,mPol,0.169372777826,3.18102566988e-27
Bens Industriais,media,mePol,0.225602291379,5.55460933362e-47
Bens Industriais,media,dpPol,-0.19799735372,1.3765307958e-36
Bens Industriais,media,vPol,-0.197301456882,2.41823361682e-36
Bens Industriais,media,sPol,0.182008681243,3.5189925343e-31
Bens Industriais,negocios,qt,0.197357361488,2.31137718963e-36
Bens Industriais,negocios,mQtCom,0.161079598217,8.8479771549e-25
Bens Industriais,negocios,meQtCom,0.154004635506,8.64577853526e-23
Bens Industriais,negocios,dpQtCom,0.137506118331,1.72568196831e-18
Bens Industriais,negocios,vQtCom,0.137507495425,1.72433520802e-18
Bens Industriais,negocios,sQtCom,0.175949459156,3.00919668772e-29
Bens Industriais,negocios,mQtTw,0.240776709525,2.8833691868e-53
Bens Industriais,negocios,meQtTw,0.448672424334,2.95885355748e-180
Bens Industriais,negocios,dpQtTw,0.208847562203,1.6337972139e-40
Bens Industriais,negocios,vQtTw,0.212211956587,8.99334779262e-42
Bens Industriais,negocios,sQtTw,0.155849863829,2.66840484471e-23
Bens Industriais,negocios,mQtFb,0.34450248548,4.29959621896e-107
Bens Industriais,negocios,meQtFb,0.441343760237,1.75732017309e-174
Bens Industriais,negocios,dpQtFb,0.358157017708,1.36214008471e-115
Bens Industriais,negocios,vQtFb,0.358465048666,8.68348783921e-116
