Setor,Tecnico,Fundamentalista,tau,p-valor
Bens Industriais,media,qt,0.218004803359,0.0
Bens Industriais,media,mQtCom,0.204876136784,0.0
Bens Industriais,media,meQtCom,0.0512121544576,3.04339150317e-22
Bens Industriais,media,dpQtCom,0.191055373176,1.09163714929e-286
Bens Industriais,media,vQtCom,0.190893838099,3.30365715329e-286
Bens Industriais,media,sQtCom,0.212234950243,0.0
Bens Industriais,media,mQtTw,0.531426598491,0.0
Bens Industriais,media,meQtTw,0.439554862758,0.0
Bens Industriais,media,dpQtTw,0.467420495919,0.0
Bens Industriais,media,vQtTw,0.467408948084,0.0
Bens Industriais,media,sQtTw,0.477252186609,0.0
Bens Industriais,media,mQtFb,0.530374032526,0.0
Bens Industriais,media,meQtFb,0.42403445523,0.0
Bens Industriais,media,dpQtFb,0.47642429285,0.0
Bens Industriais,media,vQtFb,0.476415168571,0.0
Bens Industriais,media,sQtFb,0.50117598757,0.0
Bens Industriais,media,mQtLk,0.414024451597,0.0
Bens Industriais,media,meQtLk,0.109149906774,6.20980296113e-95
Bens Industriais,media,dpQtLk,0.373034462993,0.0
Bens Industriais,media,vQtLk,0.37304125991,0.0
Bens Industriais,media,sQtLk,0.389561702365,0.0
Bens Industriais,media,mQtGp,0.239683065133,0.0
Bens Industriais,media,meQtGp,0.04963263057,5.46159970963e-21
Bens Industriais,media,dpQtGp,0.220035662064,0.0
Bens Industriais,media,vQtGp,0.220058674623,0.0
Bens Industriais,media,sQtGp,0.237934866697,0.0
Bens Industriais,media,mPol,0.172058944765,6.44304641632e-233
Bens Industriais,media,mePol,0.201411285728,0.0
Bens Industriais,media,dpPol,-0.072369333275,9.34831557887e-43
Bens Industriais,media,vPol,-0.0716967593417,5.36333108946e-42
Bens Industriais,media,sPol,0.254999290857,0.0
Bens Industriais,negocios,qt,-0.393747886313,0.0
Bens Industriais,negocios,mQtCom,-0.375320148911,0.0
Bens Industriais,negocios,meQtCom,-0.512410266437,0.0
Bens Industriais,negocios,dpQtCom,-0.399212546756,0.0
Bens Industriais,negocios,vQtCom,-0.399166683941,0.0
Bens Industriais,negocios,sQtCom,-0.372342900776,0.0
Bens Industriais,negocios,mQtTw,-0.270353829636,0.0
Bens Industriais,negocios,meQtTw,-0.312853984594,0.0
Bens Industriais,negocios,dpQtTw,-0.316923621167,0.0
Bens Industriais,negocios,vQtTw,-0.316921018247,0.0
Bens Industriais,negocios,sQtTw,-0.282782821314,0.0
Bens Industriais,negocios,mQtFb,-0.265600368195,0.0
