Sub_Setor,Tecnico,Fundamentalista,tau,p-valor
Agua e Saneamento,media,qt,-0.700877510878,0.0
Agua e Saneamento,media,mQtCom,-0.578637086757,0.0
Agua e Saneamento,media,meQtCom,-0.563924484024,0.0
Agua e Saneamento,media,dpQtCom,-0.803984978032,0.0
Agua e Saneamento,media,vQtCom,-0.803984967121,0.0
Agua e Saneamento,media,sQtCom,-0.577878299461,0.0
Agua e Saneamento,media,mQtTw,-0.596427346737,0.0
Agua e Saneamento,media,meQtTw,-0.562732769185,0.0
Agua e Saneamento,media,dpQtTw,-0.860192672284,0.0
Agua e Saneamento,media,vQtTw,-0.860193911353,0.0
Agua e Saneamento,media,sQtTw,-0.593852628562,0.0
Agua e Saneamento,media,mQtFb,-0.566508160134,0.0
Agua e Saneamento,media,meQtFb,-0.548473055641,0.0
Agua e Saneamento,media,dpQtFb,-0.835705290327,0.0
Agua e Saneamento,media,vQtFb,-0.835702451597,0.0
Agua e Saneamento,media,sQtFb,-0.566859178722,0.0
Agua e Saneamento,media,mQtLk,-0.587622822612,0.0
Agua e Saneamento,media,meQtLk,-0.559797802279,0.0
Agua e Saneamento,media,dpQtLk,-0.824302210118,0.0
Agua e Saneamento,media,vQtLk,-0.82430225762,0.0
Agua e Saneamento,media,sQtLk,-0.586012263352,0.0
Agua e Saneamento,media,mQtGp,-0.555647217902,0.0
Agua e Saneamento,media,meQtGp,-0.561042596495,0.0
Agua e Saneamento,media,dpQtGp,-0.778277876623,0.0
Agua e Saneamento,media,vQtGp,-0.778277859758,0.0
Agua e Saneamento,media,sQtGp,-0.555647782796,0.0
Agua e Saneamento,media,mPol,-0.733041628571,0.0
Agua e Saneamento,media,mePol,-0.686816613059,0.0
Agua e Saneamento,media,dpPol,-0.883328265766,0.0
Agua e Saneamento,media,vPol,-0.883395311032,0.0
Agua e Saneamento,media,sPol,-0.72209520683,0.0
Agua e Saneamento,negocios,qt,-0.658816402571,0.0
Agua e Saneamento,negocios,mQtCom,-0.0853088565838,5.07422951097e-200
Agua e Saneamento,negocios,meQtCom,-0.0295339625143,1.5199284641e-25
Agua e Saneamento,negocios,dpQtCom,-0.76083427945,0.0
Agua e Saneamento,negocios,vQtCom,-0.760834262405,0.0
Agua e Saneamento,negocios,sQtCom,-0.085303311795,5.38392804696e-200
Agua e Saneamento,negocios,mQtTw,-0.236542008473,0.0
Agua e Saneamento,negocios,meQtTw,-0.0476457091078,9.994135523e-64
Agua e Saneamento,negocios,dpQtTw,-0.825013036016,0.0
Agua e Saneamento,negocios,vQtTw,-0.825012944233,0.0
Agua e Saneamento,negocios,sQtTw,-0.2369296934,0.0
Agua e Saneamento,negocios,mQtFb,-0.189530664395,0.0
Agua e Saneamento,negocios,meQtFb,-0.0340051311936,2.53122227726e-33
Agua e Saneamento,negocios,dpQtFb,-0.809938598791,0.0
Agua e Saneamento,negocios,vQtFb,-0.809938476184,0.0
Agua e Saneamento,negocios,sQtFb,-0.188466568166,0.0
Agua e Saneamento,negocios,mQtLk,-0.0924289099471,1.94851563032e-234
Agua e Saneamento,negocios,meQtLk,-0.0261548487626,2.21797570731e-20
