"segmento","hora","media","negocios","quantidade_papeis","volume_financeiro"
"Acucar e Alcool",20080102,16.78,500,753300,15610013
"Acucar e Alcool",20080103,17.01,766,967700,20330812
"Acucar e Alcool",20080104,16.87,965,1478700,30758913
"Acucar e Alcool",20080107,17.74,1011,1312400,28679661
"Acucar e Alcool",20080108,18.82,4199,2765300,64255141
"Acucar e Alcool",20080109,20.24,2860,3320400,82826095
"Acucar e Alcool",20080110,20.07,847,1802100,44725422
"Acucar e Alcool",20080111,19.52,524,1191200,28711619
"Acucar e Alcool",20080114,19.84,822,1806400,44198376
"Acucar e Alcool",20080115,19.20,860,1365100,32427890
"Acucar e Alcool",20080116,18.64,1299,1880200,43234911
"Acucar e Alcool",20080117,18.94,962,1433600,33453934
"Acucar e Alcool",20080118,19.52,1367,2055300,49554851
"Acucar e Alcool",20080121,17.97,740,982100,21859042
"Acucar e Alcool",20080122,17.90,1646,1431800,31576986
"Acucar e Alcool",20080123,17.70,989,1146800,25035680
"Acucar e Alcool",20080124,18.69,844,1191200,27443107
"Acucar e Alcool",20080128,19.32,793,1197900,28565906
"Acucar e Alcool",20080129,20.26,1196,1167800,29114030
"Acucar e Alcool",20080130,20.76,1343,2238100,58728680
"Acucar e Alcool",20080131,21.75,2013,2440500,65495039
"Acucar e Alcool",20080201,22.28,1701,2079300,57192447
"Acucar e Alcool",20080206,20.50,1301,1504300,38165567
"Acucar e Alcool",20080207,19.68,1171,1410500,34206818
"Acucar e Alcool",20080208,19.42,1207,2408500,58066051
"Acucar e Alcool",20080211,20.23,708,1435200,35845666
"Acucar e Alcool",20080212,21.13,974,1423100,37069405
"Acucar e Alcool",20080213,21.52,1978,2409000,64185813
"Acucar e Alcool",20080214,21.79,861,1222500,32859437
"Acucar e Alcool",20080215,21.88,1094,878700,23753948
"Acucar e Alcool",20080218,22.51,749,791500,22085767
"Acucar e Alcool",20080219,22.33,892,926800,25578138
"Acucar e Alcool",20080220,21.67,1230,1423500,38310117
"Acucar e Alcool",20080221,22.73,1487,1345800,37750866
"Acucar e Alcool",20080222,22.69,1507,1410000,39545600
