"setor","datahora","media","negocios","quantidade_papeis","volume_financeiro"
"Bens Industriais",20080102,10.37,1004,1308800,23171202
"Bens Industriais",20080103,10.80,658,970000,17941761
"Bens Industriais",20080104,10.12,1183,1258800,23488628
"Bens Industriais",20080107,11.00,1155,1085100,18368204
"Bens Industriais",20080108,10.30,569,683700,12149818
"Bens Industriais",20080109,11.04,1877,1849000,36109046
"Bens Industriais",20080110,11.04,1052,1141300,18615568
"Bens Industriais",20080111,10.03,1969,2511500,36257439
"Bens Industriais",20080114,10.14,1276,1382500,23622958
"Bens Industriais",20080115,9.97,1203,1823400,31982110
"Bens Industriais",20080116,9.79,1531,1953100,31317180
"Bens Industriais",20080117,9.68,1288,1403800,25444825
"Bens Industriais",20080118,9.56,1309,1194800,19996762
"Bens Industriais",20080121,9.13,865,1484800,19666017
"Bens Industriais",20080122,9.65,1675,2348900,40171796
"Bens Industriais",20080123,9.44,1377,1449500,24944513
"Bens Industriais",20080124,9.72,1891,2624100,44945328
"Bens Industriais",20080128,9.06,920,1076500,17477946
"Bens Industriais",20080129,9.67,1306,1503500,25755303
"Bens Industriais",20080130,10.23,780,1175500,17170068
"Bens Industriais",20080131,9.13,1050,1166200,19412176
"Bens Industriais",20080201,9.56,1244,1324900,22322024
"Bens Industriais",20080206,9.31,1098,1182900,17914603
"Bens Industriais",20080207,9.70,1195,1918800,32393253
"Bens Industriais",20080208,9.50,606,824500,10896765
"Bens Industriais",20080211,9.80,1228,2293500,36355846
"Bens Industriais",20080212,10.02,1252,2686300,30293609
"Bens Industriais",20080213,9.53,1989,3061400,40814456
"Bens Industriais",20080214,9.80,1286,2003000,29400026
"Bens Industriais",20080215,9.60,1043,1896500,30083699
"Bens Industriais",20080218,9.75,761,1527700,18349431
"Bens Industriais",20080219,9.33,1271,1985200,29297526
"Bens Industriais",20080220,9.43,1210,1786000,19866904
"Bens Industriais",20080221,9.61,1378,1722000,20389737
"Bens Industriais",20080222,9.63,1135,1424600,20605602
"Bens Industriais",20080225,9.76,884,1142500,15978377
"Bens Industriais",20080226,9.62,797,1044500,14605137
"Bens Industriais",20080227,9.83,1330,1655900,21164298
"Bens Industriais",20080228,9.66,1455,2546500,36353385
"Bens Industriais",20080229,9.28,1106,1423300,18784098
"Bens Industriais",20080303,9.21,1984,1660600,27136513
"Bens Industriais",20080304,9.21,1579,1559000,25645192
"Bens Industriais",20080305,9.18,2075,2450100,40426526
"Bens Industriais",20080306,9.38,1700,1675700,28748757
"Bens Industriais",20080307,8.90,1281,943100,14196820
"Bens Industriais",20080310,9.23,1183,838800,11122591
"Bens Industriais",20080311,8.90,1778,1707300,25960820
"Bens Industriais",20080312,8.95,1400,1216100,19416404
"Bens Industriais",20080313,9.03,1552,1260500,18968144
"Bens Industriais",20080314,9.01,2080,2239700,37352009
"Bens Industriais",20080317,8.63,1398,1666200,20097423
"Bens Industriais",20080318,9.33,1083,911500,12922416
"Bens Industriais",20080319,8.81,1420,1279000,20422250
"Bens Industriais",20080320,8.79,760,692400,10644756
"Bens Industriais",20080324,8.49,1000,1022500,16618457
"Bens Industriais",20080325,8.73,1032,703100,10970054
"Bens Industriais",20080326,10.09,675,942100,15101498
"Bens Industriais",20080327,8.75,1325,2334600,30601808
"Bens Industriais",20080328,8.43,1361,1780900,24384308
"Bens Industriais",20080331,8.85,1007,1827900,21488716
"Bens Industriais",20080401,8.98,867,1113300,13914157
"Bens Industriais",20080402,8.50,955,2123500,29311538
"Bens Industriais",20080403,8.82,1139,880200,11077504
"Bens Industriais",20080404,8.92,1459,1280900,18184929
"Bens Industriais",20080407,8.86,1314,839900,13113168
