"sub_setor","hora","media","negocios","quantidade_papeis","volume_financeiro"
"Agua e Saneamento",20080102,11.13,655,304100,12599769.49
"Agua e Saneamento",20080103,11.26,910,385100,16138403.65
"Agua e Saneamento",20080104,11.22,837,326200,13629175.92
"Agua e Saneamento",20080107,11.10,649,284400,11778503.48
"Agua e Saneamento",20080108,11.11,515,456700,18860064.76
"Agua e Saneamento",20080109,11.13,435,247000,10281120.47
"Agua e Saneamento",20080110,11.24,435,250500,10486603.12
"Agua e Saneamento",20080111,11.28,964,678700,28469613.33
"Agua e Saneamento",20080114,11.32,734,400400,16842924.67
"Agua e Saneamento",20080115,11.09,423,160100,6610566.20
"Agua e Saneamento",20080116,10.96,516,187300,7642841.63
"Agua e Saneamento",20080117,10.45,778,326400,12596859.65
"Agua e Saneamento",20080118,10.10,527,229000,8592686.44
"Agua e Saneamento",20080121,9.50,344,230500,8180120.61
"Agua e Saneamento",20080122,9.69,1036,412900,14881025.94
"Agua e Saneamento",20080123,9.57,957,519700,18538652.24
"Agua e Saneamento",20080124,9.88,465,215400,7944006.75
"Agua e Saneamento",20080128,9.97,570,448300,16600208.76
"Agua e Saneamento",20080129,9.96,390,200100,7425846.08
"Agua e Saneamento",20080130,10.03,640,280400,10504052.28
"Agua e Saneamento",20080131,9.83,488,262100,9616537.20
"Agua e Saneamento",20080201,10.19,564,171200,6502933.41
"Agua e Saneamento",20080206,10.38,410,195400,7541035.53
"Agua e Saneamento",20080207,10.13,480,359600,13548349.72
"Agua e Saneamento",20080208,9.99,485,152500,5687716.33
"Agua e Saneamento",20080211,10.00,330,149500,5597154.99
"Agua e Saneamento",20080212,10.35,450,490000,18673495.17
"Agua e Saneamento",20080213,10.12,1080,457600,17213374.21
"Agua e Saneamento",20080214,10.08,461,267700,10060256.42
"Agua e Saneamento",20080215,9.87,237,217700,7990517.60
"Agua e Saneamento",20080218,9.95,211,73200,2715553.43
"Agua e Saneamento",20080219,9.96,483,353100,13095289.09
"Agua e Saneamento",20080220,9.94,770,277400,10274780.54
"Agua e Saneamento",20080221,10.20,906,282900,10752905.77
"Agua e Saneamento",20080222,10.30,604,335900,12850020.11
"Agua e Saneamento",20080225,10.44,773,385400,15027836.13
"Agua e Saneamento",20080226,10.48,555,273500,10682428.48
"Agua e Saneamento",20080227,10.54,442,193500,7616865.17
"Agua e Saneamento",20080228,10.80,618,269400,10885432
"Agua e Saneamento",20080229,10.72,635,251600,10060398
"Agua e Saneamento",20080303,10.89,737,370500,15036997
"Agua e Saneamento",20080304,10.85,519,233300,9455283
"Agua e Saneamento",20080305,10.57,863,339800,13374342
"Agua e Saneamento",20080306,10.64,615,303100,12027867
"Agua e Saneamento",20080307,10.43,526,180700,7019432
"Agua e Saneamento",20080310,10.22,493,169800,6465685
"Agua e Saneamento",20080311,10.51,710,261800,10292076
"Agua e Saneamento",20080312,10.90,667,185000,7540345
"Agua e Saneamento",20080313,10.61,684,318400,12592183
"Agua e Saneamento",20080314,10.65,618,357200,14146383
"Agua e Saneamento",20080317,10.52,834,429600,16852897
"Agua e Saneamento",20080318,10.95,625,217900,8878757
"Agua e Saneamento",20080319,10.76,468,151900,6071221
"Agua e Saneamento",20080320,10.30,638,390400,14921027
"Agua e Saneamento",20080324,10.47,573,231700,9049557
"Agua e Saneamento",20080325,10.54,664,283100,11143268
"Agua e Saneamento",20080326,10.48,501,274800,10681959
"Agua e Saneamento",20080327,10.43,602,294600,11428716
"Agua e Saneamento",20080328,10.39,649,284100,10946026
"Agua e Saneamento",20080331,10.33,716,374100,14328537
"Agua e Saneamento",20080401,10.43,1030,544900,21156293
"Agua e Saneamento",20080402,10.58,819,442300,17396648
"Agua e Saneamento",20080403,10.63,503,208900,8274303
"Agua e Saneamento",20080404,10.79,598,274900,11072520
"Agua e Saneamento",20080407,10.94,420,157500,6421087
"Agua e Saneamento",20080408,10.85,318,152900,6169544
"Agua e Saneamento",20080409,10.77,331,152400,6124098
"Agua e Saneamento",20080410,10.62,354,595200,23523326
"Agua e Saneamento",20080411,10.40,477,288800,11164589
"Agua e Saneamento",20080414,10.53,585,259500,10208114
"Agua e Saneamento",20080415,10.58,314,141700,5601769
"Agua e Saneamento",20080416,10.63,1342,446900,17696782
"Agua e Saneamento",20080417,10.77,721,262100,10462573
"Agua e Saneamento",20080418,10.92,534,197700,8072193
"Agua e Saneamento",20080422,10.83,536,273700,11099081
"Agua e Saneamento",20080423,10.89,703,285000,11546262
"Agua e Saneamento",20080424,11.19,760,279600,11645376
"Agua e Saneamento",20080425,11.16,770,427200,17794977
"Agua e Saneamento",20080428,11.52,848,222000,9533870
"Agua e Saneamento",20080429,11.44,1451,313400,13355517
"Agua e Saneamento",20080430,11.17,1309,1061600,44208563
"Agua e Saneamento",20080502,11.92,1348,819000,36335322
"Agua e Saneamento",20080505,12.17,647,313900,14290619
"Agua e Saneamento",20080506,12.16,391,210000,9523184
"Agua e Saneamento",20080507,12.21,538,329900,14981469
"Agua e Saneamento",20080508,12.07,450,270700,12184368
"Agua e Saneamento",20080509,11.95,414,173300,7685093
"Agua e Saneamento",20080512,11.98,375,107800,4813541
"Agua e Saneamento",20080513,12.30,608,236400,10828163
"Agua e Saneamento",20080514,12.27,570,189100,8627501
"Agua e Saneamento",20080515,12.48,375,139200,6463969
